track,artist,track_clean,artist_clean,final_emotion,lyrics
Wildcard,LSF,wildcard,lsf,anger,"There's a life in the spirit
Trying to be born
And yet, my heart is aching
And, oh, my mind is worn
Tired of the battle
Raging in my soul
Jesus, won't You come to me
And take complete control?
Open my eyes
Lord, open my eyes
To things that are above
Open my heart
Lord, open my heart
Wash it with Your blood
No other way
I know there's no other way
For me to make it through
Oh, Lord, I open my life to You
Lord, it's so painful
To watch the old man die
And yet I know a fountain
That will never run dry
Those who drink this water
Will never thirst again
Jesus said that He would come
And wash away our sins
Open my eyes
Lord, open my eyes
To things that are above
Open my heart
Lord, open my heart
Wash it with Your blood
No other way
I know there's no other way
For me to make it through
Oh, Lord, I open my life to You, yeah
Open my eyes
Lord, open my eyes
To things that are above
Open my heart
Lord, open my heart
Wash it with Your blood
No other way
I know there's no other way
For me to make it through
Oh, Lord, I open my life to You
Oh, I open my life to You
Open my life to you
I open my life to you"
raze,] interstice [,raze, interstice ,anger,"75 On The Interstate
In The Bay Like Golden State
Yeah, Yeah

Used To Kick Doors Like The Sensi
In The Bay Balling Like Golden State
The Bitch Want My Heart She Don't Want It To Break
She Leeching My Heart She Can't Go Away
Like Russian Roulette I Love Gunplay
She Wanna Fuck I Call It Foreplay
In The Bed Having A Field Day
When We Done We Doing 75 On The Interstate

Just Nut On Her Face Like Sum Toothpaste
He Said He Want Problems Its Dooms Day
Get Out The Brooms Its Brooms Day
Whipping The While Like I'm Kim K
Doing The Race Like Tay K
You Choosing Me Like We Playing Spades
Neva Fold Like I'm Savvo Tre
We Bumping Heads Like A Bumping Face
Talking Bad Let The Bullet Spray
Ice Up It A Cold Day
She Think It's The Dick, It's The Clip Bae
Spinning In Circles The Curl Way
Doing The Dance The Dex Way
Smoking The Gas Like I'm Dae Dae
75 On The Interstate
I Want Her To Go But She Want Me To Stay

Used To Kick Doors Like The Sensi
In The Bay Balling Like Golden State
The Bitch Want My Heart She Don't Want It To Break
She Leeching My Heart She Can't Go Away
Like Russian Roulette I Love Gunplay
She Wanna Fuck I Call It Foreplay
In The Bed Having A Field Day
When We Done We Doing 75 On The Interstate
[Verse 2: A1}
Balling Like Steph & Ayesha
Shawty Thick With A Body Like Keyshia
In The Bed Putting Work, She The Student I'm The Teacher
Shawty Hella Bad I Gotta Keep Her
Got Her Legs Around My Waist I'm Going Deeper
How I'm Stroking This Should Be Illegal
Got Her Head Against The Headboard
She Like It Fast But She Love It Slow
Told Her Come And Meet Me On The Interstate
Exit 99 GA-FL Parkway
Doing 75 On 75
I Love How The Sun Shine Off Her Eyes
I Like To See The Jeans, When It Grip In Them Thighs
She Say She Want It All, She In Love With A Boss
She The Light I Can Never Turn Off
Having A Threesome In The Foreign With The Bra Off
My Ride or Die, She Say All I Gotta Do Is Call

Used To Kick Doors Like The Sensi
In The Bay Balling Like Golden State
The Bitch Want My Heart She Don't Want It To Break
She Leeching My Heart She Can't Go Away
Like Russian Roulette I Love Gunplay
She Wanna Fuck I Call It Foreplay
In The Bed Having A Field Day
When We Done We Doing 75 On The Interstate

75 On The Interstate
I Promised The Gang Imma Make A Way
Kept It Real When The Love Was Fake
I Want Her To Go, But She Wanting To Stay
(Repeat 4x)"
kings,don't think,kings,dont think,anger,"Ain't no use to sit and wonder why, babe
It don't matter anyhow
Ain't no use to sit and wonder why, babe
If you don't know by now
When the rooster crows at the break of dawn
Look out your window and I'll be gone
You're the reason why I'm traveling on
Don't think twice, it's all right

Ain't no use in turning on your light, babe
The light I never knowed
Ain't no use in turning on your light, babe
I'm on the dark side of the road
Still I wish there was something you could do or say
To make me change my mind and stay
We never did too much talking anyway
Don't think twice, it's all right

Walking down the long and lonesome road, gal
Where I'm bound, I can't tell
Goodbye's too good a word, gal
So I'll just say, ""Fare thee well""
Well, I ain't saying you treated me unkind
You could have done better but I don't mind
You just sort of wasted my precious time
Don't think twice, it's alright

Ain't no use in calling out my name, gal
Like you never did before
Ain't no use in calling out my name, gal
I can't hear you anymore
I'm a-thinking and a-wondering, all the way down the road
I once loved a woman, a child, I'm told
I give her my heart but she wanted my soul
Don't think twice, it's all right"
Serving Time In The Middle Of Nowhere,Eyehategod,serving time in the middle of nowhere,eyehategod,anger,"See them turn
Droplets fall
Made life great
My life
Different body
Desperate days
Turn out to be
Way cut off
Silent drop
Wrist and body
Founding your life
My life
That's okay
I don't get it
This girl stink doesn't
Let go
I rape your mouth
Tried to sleep in
Winter falls
Clean up this mess
Silently draw breath
I was happy
Happy once
Desperate days
Turn to sulk
Silently drop
Hard
Different days
Tried to speak
Just I couldn't
Laugh"
Horny Lil' Devil,Ice Cube,horny lil devil,ice cube,anger,"You are the prince of darkness, arch enemy, father of evil
Hell born, demonic, savage, fierce, vicious, wild
Tameless, barbaric, ungovernable, uncontrollable, obstinate beast

Horny little devil, you gotta back up
Horny little devil, you can't bust a nut
Lookin' at my girlfriend's Black skin
You wanna jump in, but she don't like white men
So don't flirt at work, you fuckin' jerk
Or get your punk devil-ass hurt, motherfucker
She ain't with the pale face
'Cause y'all fuck at a snail's pace
And you might get sprayed with mace from the ebony
So when she's doing her job, you better let her be
Don't try to pinch the gluterus
Thinkin' that you about to knock out the uterus
'Cause she'll tell you to kiss her ass quick
And where I'm from, devils get they ass kicked
Mr. Sexual Harassment
Asking for a blow and when the answer is ""fuck no""
Looks like you wanna terminate
But that's when I go psycho like Norman Bates
I wanna kill the devil for talkin' shit
'Cause he can't get a taste of the chocolate
African breasts
'Cause white bitches have no butt and no chest
Black women have bodies like goddesses
Sorta like Venus, but put away your penis
'Cause the devil is a savage motherfucker
That's why I'm lighter than the average brother
'Cause you raped our women and we felt it
But it'll never happen again if I can help it (Me neither)
'Cause nobody in my neighborhood has caught jungle fever yet
So horny little devil, you better listen
Before your ass come up missin', and it's like that

I'm so horny (Hey, listen to the man)
I'm so horny (Hey, listen to the man)
I'm so horny (Hey, listen to the man)
I'm so horny (Hey, listen to the man)
I'm so horny (Hey, listen to the man)
I'm so horny (Hey, listen to the man)
I'm so horny (Hey, listen to the man)
I'm so horny (Hey, listen to the man)

Now you wanna get me
Horny little devil must be a F-A-G
Tryin to fuck me out my land and my manhood
Have me broke, eatin' Spam and canned goods
Locking down on my neighborhoods
Treat me less than a man 'cause right now you got the upper hand
But my ass is a virgin
You might have fucked the Indians, but you can't surgeon me
And when I'm on top, I won't be fuckin' ya
I'd rather put a buck in ya
'Cause I hate the devil with a passion
And when I see the whites of his eyes, I start blastin'
Dig a hole and throw his ass in
And won't be happy 'til I'm down to my last ten
Get his fuckin' pitchfork
Tie him up and then feed the bitch pork
Little devil can't fuck me out my pay
'Cause horny little devil, true niggas ain't gay
And you can't play with my Yo-Yo
And definitely can't play with me, you fuckin' homo
'Cause we'll blow your head off
And turn that white sheet 'to a red cloth
Plus when they're all dead
I can cut that Jheri juice and get a bald head
Then let it nap up
Go down to the corner store and beat the Jap up
Clean all the crap up
Out my city, now the whole block look shitty
Put his dick on a wood block
Swing, swing, swing and chop, chop, chop
Now who's the next to nut?
Color Me Badd, but you can't sex me up
So don't even try it, put your dick on a diet
'Cause this is Watts Riot 1991 and I'ma get my gun
Put an end to the devil, so get a fucking shovel

I'm so horny (Hey, listen to the man)
I'm so horny (Hey, listen to the man)
I'm so horny (Hey, listen to the man)
I'm so horny (Hey, listen to the man)
I'm so horny (Hey, listen to the man)
I'm so horny (Hey, listen to the man)
I'm so horny (Hey, listen to the man)
I'm so horny (Hey, listen to the man)

Twenty D Energizers
Twenty C Energizer?
D, not C, D
C Energizer?
D, motherfucker, D! Learn to speak English first, alright? D!
How many you say?
Twenty, motherfucker, twenty (
Honey
)
Mother fuck you!"
Rip Your Heart Out (feat. Tech N9ne),Hopsin,rip your heart out feat tech n9ne,hopsin,anger,"Well, now that you've all prepared yourselves for the madness, I present to you: Hopsin and Tech N9ne!

See, I be bangin' on niggas with rappin' voodoo
No slack for you fools
If you ain't gettin' the message I'll slap it through you
My ass is coo-coo, tracks is brutal, that's the usual
Shit that we do in Panorama City
No time for no bitches actin' too sadity
My niggas is rugged, rude, and kinda gritty, for really
Explosive, you know this, come get your daily dosage
I spit that funky shit, can you send a medic for my halitosis?
The flow is as solid as diamonds
Niggas should know they cannot corrode this
So motherfucker bow down
As if you're tryin' to suck on your own dick (Ferocious)
He think he tight, then watch my ass stretch him
You'll feel the wrath if ever you fags test him
You just a sperm cell that climbed
Up out of your dad's rectum
Muh'fucker, I got balls like I'm Ash Ketchum
I really can't imagine not spazzin' on a track this savage
I snap, then I'm a little fanatic
So orgasm 'cause they witnessin' madness, nigga
This that twenty one three classic, nigga
Talkin' that shit get yo' ass whooped, nigga
Damn it, that nigga Hopsin he be killin' shit
If I see him I'ma blast that nigga

We the coldest, flow hypnosis
So explosive, yo' bitch knows it
We the coldest, flow hypnosis
So explosive, yo' bitch knows it

You damn right
I'll rip your mothafuckin' heart out
Day and night
I'll rip your mothafuckin' heart out
You damn right
Nigga, I'll rip your mothafuckin' heart out
Day and night
I'll rip your mothafuckin' heart out

Never will the bomb ignite unless you step to me
Gonna be the one inside of my trajectory
Nigga better run and hide, I kill excessively
That's my recipe, 'til the death of me
You don't wanna be the reason I'ma lose it
Anybody wanna battle, better cool it
I'ma chop on top and I come cruisin', two-bit
Sloppy chopped and I can prove it, stupid!
I'ma buck ‘em all down
Tecca N9na sick, I'm such a raw clown
Eager to F it up, even if ever ya
Evil, I eat ‘em up, fuckin' y'all sounds
Smother ya, when I pop at people they discover the
Killer stoppin' evil, what the fuck is ya
Trippin off of? You can get lickin' my governor
Nigga, they callin' me Bane, like Saddam Hussein
Ain't that a bitch? 'Cause me and Hop only thing
Is takin' over like Pinky and the Brain
I'ma give you the gun and
You're never livin' when the trigger is summoned
I see you sucka shakin', shiver, you runnin'
""The niggas are comin'! The niggas are comin'!""
Better tell them all that they don't want the N9na hail to fall
Your lowlife, soon they're gonna be no life, doomed
Gonna go night, dunes, gonna pick yo' right tomb
I know it's irkin' you niggas
You watchin' me rip it then blow like boom!

We the coldest, flow hypnosis
So explosive, yo' bitch knows it
We the coldest, flow hypnosis
So explosive, yo' bitch knows it

You damn right
I'll rip your mothafuckin' heart out
Day and night
I'll rip your mothafuckin' heart out
You damn right
Nigga, I'll rip your mothafuckin' heart out
Day and night
I'll rip your mothafuckin' heart out

Let me get the baton back, I'ma bomb rap
Lookin' oh so malicious with contacts
Nigga starin', like, ""Damn, where yo' mind at?!""
This ain't no pro level shit, it's beyond that
Loaded up and I'm ready for combat
Standin' out like I'm Khalifa's blonde patch
When I come at you with vicious artillery
You wouldn't want it, like Tomica's contract
I K.O. niggas, I'm sorry
Then I throw 'em in a white trash RV
Then they wake up with a blade stuck in their rib
Yelling: ""Oh my goodness, yo, where are we?!
Hopsin, this shit is too gnarly!
Why would you wanna go harm me?
I thought we was homies
Now you wanna go and turn me into shrimp on the barbie!""
(Fatality) Bitches, I am rap, every verse is fire
I lay my shit down like fertilizer
A murderous words supplier, merkin' you is my first desire
If you got a problem with me
You can suck on my dick 'til it squirts saliva
The whole planet been waitin' to get a serial killer symphony
Comin' from the Volume and Strange
Get in the way of a killer, try to deliver
You gonna end up in a trap, and I'm sewin' your brains
MC's wanna take the bar down
I fucked the game and even picked your card out
Bitch, I'm far out
Hopsin and Tecca N9na takin' over, we gon' rip your heart out

We the coldest, flow hypnosis
So explosive, yo' bitch knows it
We the coldest, flow hypnosis
So explosive, yo' bitch knows it

You damn right
I'll rip your mothafuckin' heart out
Day and night
I'll rip your mothafuckin' heart out
You damn right
Nigga, I'll rip your mothafuckin' heart out
Day and night
I'll rip your mothafuckin' heart out"
Who Got Gunz (feat. Fat Joe & M.O.P.),Gang Starr,who got gunz feat fat joe mop,gang starr,anger,"Gang Starr
Crack Man, Crack Man, M.O.P
BX
Brooknam, haha come on
Living legends, ya heard me
Make a note of that
Yeah uh yo uh (SHOOOOOU!)

I got seven Mac 11's, about eight .38's
Nine .9's, Mac 10's
Man this shit never end
Even if the apple won't spin
I reach in my back pocket and blast you with this twin
Niggas yelling out the window, Joe's at it again
But this bastard's got lawyers
Keep him outta the pen
I mean feds wanna knock me just cause I'm cocky
An arrogant fuck
Wave hi when they watch me
Can't stop me every time official
Better find my residuals or this nine gonna lift you
He was a fine individual what the papers scriptured
Had him on the front page in his graduation pictures
And they probably never hit you if you brought your Glock
Me and my gat like Wilson, we all we got
We walk the scorching blocks with the hawk on cock
Even if the old ladies love to call the cops
I got guns

You got, he got, they got
M dot, O dot, P my nigga we got guns
Big ones, extra large heat
Humongous shit that won't fit up under your car seat
Pop in a heart beat
Keep the cannon in my reach
Lay you flat on your back like you was tanning on the beach
We keep them thang thangs full of hollows
And I'm from Christopher bitch
Bang with the Wallace
Fitzroy this nigga you ain't loco
You're buttocks, big boy
Your heart pumps Sunoco
Brownsville deep in my genes
I show you bad boy for real
Keep thinking shit is Peaches and Cream
We'll run you down, MO-Ps hunt ya down
Gun ya down, guns sing like Bilal
Raise up cock pon my biscuit for my nigga O.G. Headquizkik
We got guns

You got, we got, they got guns
Crazy ill, mad rowdy
I gots it locked
Bringing the noise, bringing the funk, pop the Glock
But only if you feel this shit
You got, we got, they got guns
Crazy ill, mad rowdy
I gots it locked
Bringing the noise, bringing the funk
You know that your through, done, finished

Nowadays my priorities ain't based on fun
I'm trying to cop some more property and a case of them guns
Sick society's got Guru protecting his fam
Fuck Prudential, I got my own protection plan
Respect me man
I'm on a mission so to speak
You're too dumb to play your position so unique
I'll trey 8 your meat faggot vacate the streets
Gang Starr, First Fam, and TS, we way deep
And even if you had a thought to move on us
Our fire power will devour, bitch you'll chew on dust
Slow death, no breath, hollows have you gasping
You rich just for you, he got a lavish casket
Call us savage bastards using all means necessary
It's only customary
It's you we got to bury
We'll dead your homo thug network
Head shots make your neck jerk
My marksman on the roof, he's an expert

Who got a problem
It's already been established
I'll come through your town with a pound like a savage
Still throwing down on the grounds that I'm average
Can I hear it for a gangster
YEAH NIGGA
It's always some shit but it's always a clip
To re-route your doubts and see what you about
Your homeboy's a snitch and your boss man's a bitch
We taking over these bricks
Doing underhanded shit, I'll shoot you in your abdomen
You fraud, you're moving like a broad with this faggot shit
And you deserve a hole
In the back of your motherfucking head the doctor can't fix
On the concrete, we palm heat like soldiers
Spit one in your whip and flip your shit over
Keep in mind whatever the nine spit
It's only as good as the nigga behind it bitch
We got guns"
Kill Life,Forgotten Tomb,kill life,forgotten tomb,anger,"Die for me - I'll swallow all your pain
Kill me - Release me from this strain
Feel it - You are going to be forgotten
Taste it - The hand of unforgiveness
I injure myself
Searching for a way out
In my eyes you see
The horror of being alive
Cry for me - I need this pain to live
Hate me - I feed on your own sickness
Breathe it - The stench of self-destruction
Love it - It's the only thing that's left to you
I watch my blood flowing out
You feel your tears running down
Hold my wounded flesh now
I'm the last thing you crave for
Life is pain
We're doomed to destroy another one
Who stands in our way
'cause we were born under a cursed star
You wanted to suffer
But I need a last relief
I need to bleed
I need to kill life
I need to kill life"
Who Am I,"Royce da 5'9""",who am i,royce da 59,anger,"I could strike physically or mentally or
I exist in you, I'm with you give your senses a call
I have no sense of humor, I vent, you must
Stay the fuck out of my way, I'm too much
I'm the first to let you know if something is real
I come right before the humph or the squeal, I'm something you feel
Go ahead, try to fight with me nigga, do the best that you do
I could be hard, I could be soft, I'll even let you choose
I exist upon the impact of a flying fist
Always show up unannounced on you nigga, I'm kinda sick
What that nigga shoot that gun at me for?
You still alive, I'm a riot not numb anymore nigga now die
I command fear, so be afraid, be very afraid
If you get carried away, then I'mma see you
Nigga you better keep the heater with you, I'm waiting for you, dog
Cause there's somebody that wanna see me with you
Keep an attitude, I'm evil, spiteful
Stay mad at you mothafuckin' practical people
Trust the one you love and I'mma make you cry
You even try to fight drugs and I'mma take it's side
The only thing that stronger than me is time
And yours is limited, and I'm involved in it 'til you all finished
I despise you, that's why I surprise you
Even if your mother dies I'mma fucking remind you
I want you walking in front of a truck or a car
Cause I hangs out at these hospitals like a club or a bar
If you afraid, be, cause I'm so hard
Only one who can stop me is your God that made me
So, he is your witness, I am your sickness
I got every human being alive on my hit list
I'm still in your way, I'm still under your skin
You don't want me but you would give me away? Fuck you!
Niggas better know that I'm something they'll never know
All you'll ever know is that hurt in his name

Nigga I'm pain, (I'm comin' for you)
You know that I will hurt you
You know I'll rise to hurt you, and you know I'll be back soon
Nigga I'm pain, yeah, I hope you like the name (I'm comin' for you)
No need to fight the pain, cause he will strike again
Nigga I'm pain, (I'm comin' for you)
You know that I will hurt you
You know I'll rise to hurt you, and you know I'll be back soon
Nigga I'm pain, yeah, I hope you like the name (I'm comin' for you)
No need to fight the pain, cause he will strike again"
Run Like Hell (2011 - Remaster),Pink Floyd,run like hell 2011 remaster,pink floyd,anger,"Run, run, run, run
Run, run, run, run
Run, run, run, run
Run, run, run, run
You better make your face up in your favourite disguise
With your button down lips and your roller blind eyes
With your empty smile and your hungry heart
Feel the bile rising from your guilty past
With your nerves in tatters as the cockleshell shatters
And the hammers batter down the door
You better run
Run, run, run, run
Run, run, run, run
Run, run, run, run
Run, run, run, run
You better run all day and run all night
And keep your dirty feelings deep inside
And if you're taking your girlfriend out tonight
You better park the car well out of sight
Cause if they catch you in the back seat trying to pick her locks
They're gonna send you back to mother in a cardboard box
You better run
 Hey, open up! HaHaHaHaHaaaaaaaaaa!
 Hammer, Hammer...1"
Hostile Breed,Royal Hunt,hostile breed,royal hunt,anger,"Ways of beliefs were written down to please you:
Saints, common thieves - each one his own to pick
So why - can you tell me - your breed's inventing something new?
Holy war? Now I see - a sacrifice a week
Infidels way: live - let live... how can you resist
Sudden urge to blow them away?
No - we're aware, your war's to get attention...
How could we dare to turn the TV off?
Raid (suicidal) - your humble share in a world's perfection
You'll meet - time is right - your idol and I hope
One bullet is enough... while you're screaming
From the top of your lungs:
Jihad! The ones who feel the pain will try to stop ""the rain
Of terror"", it's insane... I hear them screaming:
Jihad! I know who it might be: nobody else but we
The ones who hold the key...That's all they need:
Jihad! And as the time goes by we'll look upon the sky
To ask the question: ""Why they keep on screaming
Jihad?"" They're just a hostile breed that bites a hand that feeds
And loves to see it bleed - it's just a hostile breed
That cherish hate based on fear - that their religion can inspire
Nowadays. All we hear is: ""Jihad!"""
In My Hood,Styles P,in my hood,styles p,anger,"""Don't push the Mario man!""

(In my hood)
E'rybody sayin fuck 50 (fuck him)
And he don't really want a buck fifty (uh-uh)
Listen dawg, Banks ain't shit and Buck ain't shit (they ain't shit)
By the way, as usual, suck my dick
And the other nigga ain't worth nuttin' (uh-uh)
He ain't worth shootin', ain't worth cuttin', to mention a nigga
Catch 50 in the hood, we lynchin' a nigga
Heard Boy Wonder gay as a bird
Did a porno with a man, nigga stay off the curb
And by the way, I don't wanna fuckin' hammer you niggas
I know James Cruz a rat and that's your manager nigga
And birds of a feather, flock together
Fly South for the winter get shot together (boom)
It's a God damn shame what it's come to
Got a bullet in his jaw, guess 50 want, one in his tongue too
But I ain't tryna fuck with the Rat Unit
Made 50 million, spend about ten on police
And I ain't got that much but I can chill on the streets
And I ain't tryna get in the mood (uh-uh)
Who you tryna fake out, when the only thing you take out is food
Nigga better look at your zip code
I'll be in New York when I'm spittin' that shit bro
I ain't got a problem with lettin' the fifth go
Your men look like bitches, tell them niggas start lettin' your dick go
You don't really want it with Ghost
Your money long but my shit still stronger than dope motherfucker

Cowards, whattup nigga (yeah)
How could you talk shit with police wit'chu? (how?)
Let's be serious
Fall back nigga (fall back)
I mean you sold ten million
You did it baby
Fall back (word)
This is real niggas, nigga, ain't no police over here, nigga
You must be fuckin' sniffin' coke in that mansion, you fake-ass Scarface
You shouldn't try ta fuck with us
Idiot
Time is money
Since you got so much money, nigga
Cop a million of my shits
And learn sumthin', learn how to rap motherfucker, one
Supa!"
Afro Finger,Mu,afro finger,mu,anger,"There is something I need always
To just make me
Feel so good
Put a finger
On your spot
In a dark
Pink room
What do you want to
Think about
When you play
Onani, Afro finger
Onani, Afro finger
Onani, Afro finger
Onani, Afro finger
Just think about
Big storm
Feel slowly, Afro finger
Touch my spot, Afro finger
Asokonokega Tenitsukuhodo
Hageshiku Sawatte
Iku Iku Iku
Feel something inside my understomach
Think about, Afro finger
What I'm doing, Afro finger
It's so dirty, Afro finger
Erotic Afro finger
So I love it
Can't stop
Oyasumi Afro finger
Oyasumi Afro finger"
Satelite,Sex Pistols,satelite,sex pistols,anger,"Suburban kid, and you got no name
You're too dumb, baby, and you got no brain
I bet you're all so happy in suburbian dreams
But I'm only laughing; you ain't in my scheme

Baby
I love you
I love you
I love you

I only ever listen when you're on the phone
From your safety-restricted zone home
When I got nothing better to do
Then there's always you; you're good for my shoe

Hey, babe
I love you
I love you
I love you

You look at me, and you just can't tell
You're looking like you just came outta hell
Acting like a dirty lavatory
There ain't no bid for your chastity

Hey, baby
I love you
I love you
I love you

I'm in love
I'm really in love

Try and join the scene, but you're too obscene
You're looking like a big, fat, pink, baked bean
How did you figure that you'd be any use
When all's you're gonna get is my abuse?

Hey, babe
I love you
I love you
I love you

You know I don't like where you come from
It's just a satellite of London
And when you look me in the eye
I just remember I wanna die

Hey, babe
I love you
I love you
I love you

I can't take no more
Just stop"
Heart Attack,Jarren Benton,heart attack,jarren benton,anger,"I sit with this broken heart, like why did you leave me bitch
With a bottle of painpills, I swear this ain't easy bitch
I though we would ride together, you and me we would die together
Walk through the bowels of hell, like fuck it we'll fry together
You walked out and left me here, along with a fist full of tears
I drowned in my sorrow, I can't believe i wasted this many years
You didn’t have the decency to tell me you leavin, you left a note on the dresser
Oh, what the fuck, this bitch cheatin', you left me for him?
Ho that's a good enough reason for me to come and kill both of you
Guess it's back to this grieving, it's back to these nightmares
It’s back to not sleepin', it's back to me tearing this fucking house up and screaming
I remember you cutting yourself with razors and bleeding
And you told me my love was the only reason you're breathing
I was always right there for you, I thought I was special too
What happened to us? Bitch, I'm killing whats left of you
Bitch!

Yeah, and you said that you would die for me
Just another love story, and i swear the pain hurts so bad
Feel like I had a heart attack
Heart attack
Heart attack
You ripped my fucking heart and it ain't no facing that
Heart attack
Heart attack
I’ll never love again, it ain’t no turnin' back

I'm turning to Lucifer, I swear I ain't thinking right
I'm drinking again, I'm parked by your house at night
I see that you're happy with him, you know it's just eating me
The thought of you fucking him makes me sick
It repeatedly, plays in my brain, it drives me insane
And of course when it rains I try to block out the pain
But fuck I just can't, get over this bitch
I think I need help, I can't get over this shit
So I muster the courage to come and knock at your door
The closer I get I feel my heart fall to the floor
You open it up, you look in my eyes
It's been a whole month, bitch, oh you look so surprised
And I get this feeling of so much rage and i grab her right by the face
And she’s screamin I’m erkin, cursin, I hate you bitch
We both spewin hatred, shit, I know i should leave
But a part of me ain't satisfied until i see her bleed
She's screaming for help, as I squeeze on her neck
You owe me this explanation for me and you separating
That shit was so devastating, I feel her soul levitating
The sound of her suffocating, she's dying from strangulation
So cold and so dark, til death do us apart
God dammit I love you, look at me falling apart
This pain is so deep, and it bites like a shark
I stick you right where you hurt me, and put this blade through her heart
And she's out!"
What It Is Right Now,Busta Rhymes,what it is right now,busta rhymes,anger,"Yeah, yeah, yeah Flipmode
Yeah, yeah, yeah Flipmode
Yeah, yeah, yeah Flipmode
Yeah, yeah, yeah Flipmode
Yeah, yeah, yeah Flipmode
Keep it goin c'mon
Keep it goin c'mon
Keep it goin c'mon
Part 2, Ha!

Yeah, Let me show you what it is right now
Grip the 5th hit you in your shit right now
Make room my squad moving big right now
Stack chips, crib looking sick right now
Chicks I switch em like kicks right now
Sorry can't help it; I'm a pimp right now
My new revenue thick right now
Or I'd have to come back and cook a brick right now

Near none of y'all hoochies couldn't move me right now
Went from Gap to Guess to a Gucci right now
Gunnin for your title, why bother right now
Some of y'all more bitch then Puffy's driver right now (stop)
Digga can rock; watch me spit it for blocks
In between big screens like I'm Vivica Fox
Second album showing no mercy right now
We first since Eminem controversial right now

Flipmode what it is right now (C'mon)
Flipmode what it is right now (Uh-ha, Uh-ha)
Flipmode what it is right now (All my people Uh-ha, Uh-ha)
Flipmode what it is right now (Flipmode nigga, Flipmode nigga)
Flipmode what it is right now (What you want nigga)
Flipmode what it is right now (Uh-ha, Uh-ha)
Flipmode what it is right now (All my people Uh-ha, Uh-ha)
Flipmode what it is right now (C'mon, Uh-ha, Uh-ha)

We got you stuck right now
Shit we lookin for bitches to fuck right now
Chickens and Peacocks and ducks right now
Different birds with feathers to pluck right now
When we pull up in the truck right now
All black seven-forty deluxe right now
Niggas hate to self-destruct right now
Wishin that I was takin the bus right now

Let's get it on right now
I feel it more right now
Big and small and skin em all right down
Wide variety of kicks
And 9 times out of 10 I'm get a bitch
And get so...right now, I mean right now
Fuck a white gal in a tight towel, and right now
Things are like Iron Mike now
Throw hard rights and knock em out right now
(Chorus w/ different adlibs from Busta Rhymes)

This be the beat to rock for the beats (yeah)
Bang that shit you crack the concrete (c'mon)
When we come thru you know we drop bombs
Flip-mode 2-k-1 dot com
Hands in the air till you weaken both arms
Ladies shake ya ass; fellas roll the charms
We keepin it street cause how we live
That's what it is baby, that what it is baby

Uh, Yeah
It's QB right now
Niggas is wonderin who's he right now
He the nigga wit 20's on V's right now
Pushin a whip on empty streets right now
Fly by you catch a cab right now
Put your cap down to the Force Eclipse right now
Die slow got niggas pickin they scabs now
Let it bleed right now, close your eyes no sounds

I thought I told you who it is right now
You ain't go to guess this ain't a fuckin quiz right now
Tap better like Melvin Giz right now
Bus-a-Bus the motherfucking grand wiz right now
In case you ain't knowing it's Flipmode right now
Stopping ya bank takin ya doe right now
Bitch wanna fuck around wit a pro right now
I see betta bitches I think you got to go right now
(Chorus w/ different adlibs from Busta Rhymes)

It's Spliff Star up in the spot c'mon
It's Rah Digga in the spot c'mon
Rampage is in the spot c'mon
Yeah, Roc Marc in the spot c'mon
Yeah, Baby Cham is in the spot c'mon
Yeah, Bus-a-Bus is in the spot c'mon
Yeah, Scratchator is in the spot c'mon
Bus'll tell you what it is right now
2001 hot shit, hot shit, hot shit
Hot shit, hot shit, hot shit, hot shit, hot shit"
