track,artist,final_emotion,lyrics
Judas,The Agony Scene,anger,"They shut their eyes now that night has fallen
And pray the wolves are kept at bay
For now the mist hangs, arms wide open
Like some cruel depiction of Christ

For now the silence comforts lost souls
Who in this moment hang gracefully
By the dead, hidden by shadows
Who've come to take them in their sleep

Falling farther in darkness
Falling farther in darkness

Eyes wide lacking comprehension
As silhouettes dance in the flames
Their limbs bound by the shadows
That seem to stare back from the pits of black

For now the silence comforts lost souls
Who in this moment hang gracefully
By the dead, hidden by shadows
Who's screams echo for eternity

Falling farther in darkness
Falling farther in darkness
Falling farther in darkness
Falling farther in darkness

Awakened by their screams
Like something of a nightmare
Lacking the desire to breathe
Wishing for the end

Awakened by their screams
Like something of a nightmare
Lacking the desire to breathe
Wishing for the end

Wishing for the end
Wishing for the end
Wishing for the end
Wishing for the end

They shut their eyes now that night has fallen
And pray the wolves are kept at bay
For now the mist hangs, arms wide open
Like some cruel depiction of Christ

For now the silence comforts lost souls
Who in this moment hang gracefully
By the dead, hidden by shadows
Who've come to take them in their sleep

Falling farther in darkness
Falling farther in darkness
Falling farther in darkness
Falling farther"
Tobacco Road,Eric Burdon,anger,"Oh, I was born in a dump
My mama died, daddy got drunk
He left me here to die or grow
In the middle of Tobacco Road

I grew up in a rusty shack
And all I owned was hangin' on my back
The Lord knows how I loathe
This place called, Tobacco Road

But it's home, it's really my home
The only life I'll ever know
But the Lord knows I loathe
Tobacco Road

I'm gonna leave and get a job
With the help and the grace of God
I save my money, get rich I know
Bring it back to Tobacco Road

Well, well, well
Gonna bring me some dynamite, gonna bring me a crane
Got to blow you up, got to tear you down, start all over again
I'll rebuild the town, I'll be proud to show
And keep the name of Tobacco Road

But it's home, it's home
The only life that I've ever known
I despise you 'cause you're filthy
But I love you because you're my home

Tobacco Road, Tobacco Road
Tobacco Road, Tobacco Road
Say you're dirty and filthy
I despise, I despise you 'cause you're filthy
But I love you because you're my home

Tobacco Road, road
Talkin' about a dirty, funky, filthy low down place
Tobacco Road, well, you're so dirty and filthy"
Lines of Suicide,The Agony Scene,anger,"My heartstrings cease to strain
I've acquired a taste for poisoned lips
Drank deep of this disease in me
Adored with prying eyes
Beneath a mask made of flesh and thorns

Collected from the ones she'd loved before
Collected from the ones she'd loved before
Collected from the ones she'd loved before
Collected from the ones she'd loved before

My heartstrings cease to strain
I've acquired a taste for poisoned lips
Drank deep of this disease in me
Adored with prying eyes
Beneath a mask made of flesh and thorns

Her eyes were opened wide
She now could see forever
Traced deep the marks she'd made
With her razor

Her eyes were opened wide
She now could see forever
Traced deep the marks she'd made
With her razor

The lines of suicide
The lines of suicide
The lines of suicide
The lines of suicide"
I'm Your Boogieman,White Zombie,anger,"I'm your boogie man, that's what I am
I'm here to do whatever I can
Be it early mornin' late afternoon
Or at midnight, oh it's never too soon
To want to please you, to want to please you
I want to do it all, all for you
I want to be your, be your rubber ball
I want to be the one ya love most of all
Oh yeah, oh yeah
I'm your boogie man, boogie man
Turn me on
I'm your boogie man, boogie man
Do what you want
I'm your boogie man, boogie man
Turn me on
I'm your boogie man, boogie man
Do what you want
I'm your boogie man, that's what I am
I'm here to do whatever I can
Be it early mornin' late afternoon
Or at midnight, oh it's never too soon
To want to take you, to want to hold you
I want to give me all, all to you
I want you to completely understand
Just where I'm at and where I am
Oh yeah, oh yeah
I'm your boogie man, boogie man
Turn me on
I'm your boogie man, boogie man
Do what you want
I'm your boogie man, boogie man
Turn me on
I'm your boogie man, boogie man
Do what you want
I'm your boogie man, that's what I am
I'm here to do whatever I can
be it early mornin' late afternoon
Or at midnight, oh it's never too soon
I want to be with you, I want to be with you
Yeah we'll be together you and me
I want to see you, ah get near you
I want to love you from sundown sunup, oh yeah
I'm your boogie man, that's what I am
I'm here to do whatever I am
Be it early mornin' late afternoon
Or at midnight, oh it's never too soon
To want to please you, to want to keep you
To want to do it all, all for you
I want to be your, be your rubber ball
I want to be the one, ya love most of all
I'm your boogie man, I'm your boogie man
I'm your boogie man, I'm your boogie man"
Asleep,Strike Anywhere,anger,"This is an anchor for my anger, battery for my brain
Rebirth in this resistance, recharge, rewrite, refrain
This is an issue of contempt, I'll see it through and wash it clear
Free from the pain of self destruction

And I won't sleep in the stillness
I won't suffocate away

Are you awake?
Are you awake?
I am awake
And I won't sleep

And I'm awake
Awake
Awake
And I won't suffocate

I won't suffocate
I won't suffocate
I won't suffocate
I won't suffocate

No, I won't suffocate
I won't suffocate

But I'll burn out of the darkness
To open up the inner heart inside of us, aware
There comes a time when we choose to stand or walk away
And I choose to stand

I'll burn out of the darkness
To open up the inner heart inside of us, aware
There comes a time when we choose to stand or walk away
And I choose to stand

Burn out of the darkness
To open up the inner heart inside of us, aware
There comes a time when we choose to stand or walk away
Walk away, walk away

This is an anchor for my anger, battery for my brain
Rebirth in this resistance, recharge, rewrite, refrain
I won't sleep in the stillness
And I won't suffocate

Awake
Are you awake?
I am awake
I won't sleep

And I'm awake
Awake
Awake
And I won't suffocate

Strike the chord, taking ourselves into the grave
Strike the chord, I refuse to be enslaved
Strike the chord, begin the drumbeat beating away
Awake

Awake"
Monster's Ball,Vinnie Paz,anger,"I feel reinvigorated, don't fuck with the boss
I'd rather cut my own throat before suffering loss
Anybody fucking with me get hung on the cross
I have anger in me, don't make me summon the source

I go to war with the glock
I go to war with anybody motherfucker, I'm a sorcerer ock
I'm fucking everything whether the bitch is gorgeous or not
I murder everything, that's just some of my torturous plot

If you righteous and you under attack
Like the anbar awakening and sons of Iraq
The fifty cal is like a thunderous clap
If you think that you safe and nothing wrong that's a presumptuous act

It ain't no tomorrow, I don't got a dime saved
And if you did it's in the Wall Street crime wave
It ain't nothing worse in the world than a mind slave
Going to war with my people how I define brave

I'm a monster
Ain't no one can fuck with the kid
I'm a monster
My jail brothers stuck with a bid
I'm a monster
Everything I do is precise
I'm a monster
Pazienza ruin your life

I'm a monster
Ain't no one can fuck with the kid
I'm a monster
My jail brothers stuck with a bid
I'm a monster
Everything I do is precise
I'm a monster
Pazienza ruin your life

Yeah you know that Vinnie he been nice
Y'all don't belong inside of the ring like you Kimb Slice
I ain't gonna take all of your skin, just a thin slice
They call me John the beast Mugabi when Vin fights

Vin Laden, Taliban, Hamas, and Al-Qaeda
You a snitch cop lover, you fuck with a traitor
I'm a motherfucking brick you constructed of paper
I dumped the motherfucking clip now you dust and you vapour

I was there when all the planets was born
Before the continental drift and when Atlantis was formed
When Gandhi told the indians to stand and be strong
And took the british out with intellect in spite of their brawn

I'm a monster
Ain't no one can fuck with the kid
I'm a monster
My jail brothers stuck with a bid
I'm a monster
Everything I do is precise
I'm a monster
Pazienza ruin your life

I'm a monster
Ain't no one can fuck with the kid
I'm a monster
My jail brothers stuck with a bid
I'm a monster
Everything I do is precise
I'm a monster
Pazienza ruin your life

Everything Pazienza do is hard body
I don't care if you blood, neta, or godbody
I was devilish before the power of God got me
I just think I let the fucking sword of Allah chop em

Mossberg nine thirty-five is amazing
The Prada high-tops the same colour as raisin
He a rat, not even his mother can save him
That's what you get for being brothers with satan

The thirty-eight practical, the glock is for fair
And this for jail brothers something they can knock on the tier
Yeah, I'll stick a knife in your esophagus queer
I'm an animal, every rhyme will demolish you queers

Gas high but you can get the D for a real price
This Sig Sauer 1911 is real nice
I'll stick through the wrist with a steel spike
And now maybe you'll overstand the pain of the real Christ

I'm a monster
Ain't no one can fuck with the kid
I'm a monster
My jail brothers stuck with a bid
I'm a monster
Everything I do is precise
I'm a monster
Pazienza ruin your life

I'm a monster
Ain't no one can fuck with the kid
I'm a monster
My jail brothers stuck with a bid
I'm a monster
Everything I do is precise
I'm a monster
Pazienza ruin your life"
I'm A Cloud,Boy Hits Car,anger,"And you will heal yourself
When the rain begins to fall
Feel the fire
Burning inside us all
Remove me
For going in unchained
Blow away for yourself and gather again
And, listen to the conversations of the sea
Inside us all
There's a quiet beach
If we fall into ourselves we will become free
I myself could use a little clarity
'Cause I am so full of love
I am so full of hate
I am so full of these feelings
That tear me every which way
I am so full of you
I am so full of me
I am so full of these words
That don't tell her a fucking thing
I am so full of love
I am so full of hate
I am so full of these feelings
That tear me every which way
Then I opened up my mouth
I'm a cloud.
And these words they seldom come out
When I looked into her eyes I cared enough to wonder why
She'd want a cloud that's floating around
But I feel it's time to say goodbye to fear
And feel the fury of these tears
As they run down my face
I can feel her so far away
'Cause I am a cloud
And I am so afraid
So don't you come and gather at me in this haze
I sit at home and feel the sun's daze
As she gently melts a little everyday
I blow away remaining unphased
When I feel the there's something crawling out of me
I'm just a cloud watching the moon rise
These motherfuckers stepped on me,
And tried to fuck me from behind
'Cause I am a cloud
And I am so afraid
I, I am
So full of love
I am so full of love
I am so full of hate
I am so full of these feelings
That tear me every which way
I am so full of you
I am so full of me
I am so full of these words
That don't tell her a fucking thing
I am so full of love
I am so full of hate
I am so full of these feelings
That tear me every which way
I am so full of love
Love!
I am so full of love
I am so full of hate
I am so full of love
I am so full of"
The Sauce,Eminem,anger,"It's all bad now, man, it's all bad
But y'all done fucked up now
Yeah! Haha! New shit!
Ayo, I just want the whole world to know
That I did not start this, but I will finish it

Comin' up, it never mattered what color you was

If you could spit, then you could spit

That's it, that's what it was
Back when motherfuckers was straight backpackin'
Cipherin', fightin' for life in this rap
For the mic to get passed, and you psyched and you gassed
Then you hype, 'cause you last
And you might whoop some ass; if you lost, then you lost
Shake hands like a man and you swallowed it
When the Unsigned Hype column in
The Source was like our only source of light
When the mics used to mean somethin', a four was like
You were the shit, now it's like the least you get
Three and a half now just means you're a piece of shit
Four and a half or five means you're Biggie, Jigga, Nas
Or Benzino—shit, I don't even think you realize
You're playin' with motherfuckers' lives
I done watched Dre get fucked on The Chronic
Probably 'cause I was on it
Now you fucked me out of my mics twice, I let it slide
I said I wouldn't hold my fuckin' breath to get a five
Shit, I was right, I'da fuckin' died already tryin'
I swear to God, I never lie, I bet that's why
You let that bitch give me that bullshit review
I sat and took it, I ain't look at the shit, we knew
You'd probably try and fuck us with Obie and 50 too
Fuck a relationship! We through!
No more Source to street credit, them days is dead
Ray's got AK's to Dave Mays's head
Every issue there's an eight-page Made Men spread
Will somebody please tell whoever braids his head
That I am not afraid of this fuckin' waste of lead
On my pencil, for me to write some shit this simple
So, listen closely, as I break it down and proceed
This old G's about to get smoked like rolled weed
You don't know me or my motherfuckin' mother
You motherfuckin' punk!
Put me on your fuckin' cover just to sell your little sell-out mag
I ain't mad, I feel bad, here's an ad
Here's a poster of Ray-Ray and his dad
You wanna talk about some shit
That you don't know about, yeah?
Let's talk about how you're puttin' your own son out there

To try to eat off him because you missed your boat
You're never gonna blow, bitch, you're just too old

No wonder you're sore now, lordy, you're bored now
I'm pushin' 30, you're kickin' 40's door down
Bitch, this is war now, and you'll never beat me
All you do is cheat me out of Quotables
But you know that you'll always see me on your TV
'Cause you've got to stay up 'til three in the morning
To see your video played once on BET
So, hee hee hee, who has the last laugh? Aftermath, yeah
So, on behalf of our whole staff, kiss our asshole cracks

We'll never fold or hold back
Just know that Benzino's wack;
No matter how many times I say his name, he'll never blow, jack

You're better off tryin' to bring RSO back

Look at your track record, that's how far it goes back
It's extortion, and Ray owns a portion
So, half of the staff up there is fresh out of jail from Boston
Bullyin' and bossin' Dave like a slave

They completely brainwashed him and forced him to stay
Locked in his own office
Afraid of the softest, fakest, wannabe gangsta in New York
And it's pitiful, 'cause I would have never said shit if you'd
Have kept your mouth shut, bitch, now what?
Hit it, Clue! Spit it, Slay! New shit, exclusive
Yo, Lantern, yo Whoo Kid
You know what to do with this
Use it, I'm through, this is stupid
I can't believe I stooped to this bullshit to do this
And who you callin' a bitch, bitch?! You owe me!"
I Go To Work,Kool Moe Dee,anger,"I go to work
Like a doctor
When I rock the mic
You got to like
The way I operate
I make miracles happen
Just from rappin'
I'm so lyrically potent
And I'm flowin'
And explodin'
On the scene mean
I got the potential
To make you go
Then chill
I got the credentials
That is of which I chose
To make a rhyme
And chill
Then you know
I will fulfill
To make a couple of mill
As I build a guild
For all the rappers and skills
And kill the weak rappers and no thrills
Hang 'em an ephigy
If he's a sucker
Hang 'em to the left of me
Cause my right hand man
Is my mic stand and
The microphone that I own
And my game plan
Is keeping at a steady pace
Ain't no need for a rush
It ain't no race
I'ma hit the top
Just when I want to
And it's a matter of time
And I'm gonna
Cause I know when to
Go 'head enter
The classic Moe Dee rap
That sent ya
Runnin' around
Holdin' ya head
Askin' ya homeboy
Yo man
You hear what he said
Another funky rhythm
Look at ya man
And give him a high five
Cause I'm live
Runnin' around with him
Telling everybody
Hanging out on the block
It's time to wake up
And check the clock
Punch it
I go to work
I go to work
I go to work
Like an architect
I build a rhyme some times it climbs so erect
Skyscrapers look like atoms
Cars electrons rollin' in patterns
Writing out word after word
With each letter it becomes visibly better
Cause my foundation built a nation of rappers
And after I came off vaction
I came to roam
The land I own
And stand alone on the microphone
Daddy's home
Open the door playtime is over
Time to go to work and show the
Suckers in the place who run their face
The base and a taste of who's the ace
Start the race
I'm coming in first
With each verse
I build a curse
So rappers can't capture Moe Dee's rapture
After I got ya
I have to slap ya
Senseless with
Endless rhymes don't pretned this
Is anything short of stupendous
And when this rhyme is done
Your mind will become
So trapped in the rap
You'll lust on another one
You gotta wait it takes time
I don't write I build a rhyme
I draw plans draft the diagrams
An architect in effect
And it slams
And if it's weak when I'm done
Renovate and build another one
I go to work
I go to work
I go to work
Like a boxer
Train the brain and aim
To out fox ya
Like a punch my rhyme knocks ya
Some times it rocks ya
So hard it stops ya
Dead in your tracks
So power packed
Before you can react
You're flat on your back
Down for the count
Get up and dismount
Cause I'm coming
With an endless amount
Of words in a hurry
Like a flurry
A collage to camouflage
The power punch but don't worry
Knowledge is an antidote
I got hand of smoke
Writing at the speed of light with insight
I wrote
Rhymes at a level
So you can't relate
Unless you're intelligent
So stay awake
Sleepwalkers
Slick talkers
This time a native New Yorker's
Riding a crescendo wave to save the mental
State of the fan so he can understand my pencil
Rhymes in its highest form
I'm a drop it on ya like a bomb
When it explodes I'll blow up
A few casualties but so what
If you're slow
You blow
You know you go
I flow
I throw all pro
I go to work
I go to work
To say rap is not work
Is ludicrous
Whoever said it
Must be new to this
When you hear me
You'll compare me
To a prophet for profit
Not merely
Putting words together for
Recreation
Each rhyme's a dissertation
You want to know my occupation
I get paid to rock the nation
I go to work
I go to work
I go to work"
In a Coma,Exilia,anger,"I see the world with a new perception
She knows the future and she is my obsession
She told me that we met before somehow, somewhere
Feeling hypnotic when I hear her voice again
She can see through my eyes
She can see through my eyes
I've got to see her, I got, feels like I'm in a coma
I've got to see her, I got, feels like I'm in a coma
I've got to see her, I got, feels like I'm in a coma
I've got to see her, I got, feels like I'm in a coma

She is in my head, she is in my veins
I need to look into her eyes where I belong
She is in my head, she is in my brains
The unrequited dream I've never had before
She is in my head, she is in my veins
I need to look into her eyes where I belong
She is in my head
She is in my soul

Feel like I've got to make a long confession
Did we have another life to mention?
She told me that we met before somehow, somewhere
I knew her scent before I knew that she was There
She can see through my eyes
She can see through my eyes

I've got to see her, I got, feels like I'm in a coma
I've got to see her, I got, feels like I'm in a coma
I've got to see her, I got, feels like I'm in a coma
I've got to see her, I got, feels like I'm in a coma

She is in my head, she is in my veins
I need to look into her eyes where I belong
She is in my head, she is in my brains
The unrequited dream I've never had before
She is in my head, she is in my veins
I need to look into her eyes where I belong
She is in my head
She is in my soul
In my head
In my soul
In my head
In my soul
In my head
She's in my soul

I've got to see her, I got, feels like I'm in a coma
I've got to see her, I got, feels like I'm in a coma
I've got to see her, I got, feels like I'm in a coma
I've got to see her, I got, feels like I'm in a coma
I've got to see her, I got, feels like I'm in a coma
I've got to see her, I got, feels like I'm in a coma
I've got to see her, I got

She is in my head, she is in my veins
I need to look into her eyes where I belong
She is in my head, she is in my brains
The unrequited dream I've never had before
She is in my head, she is in my veins
I need to look into her eyes where I belong
She is in my head
She is in my soul
In my head
In my soul
In my head
In my soul
In my head
She's in my soul"
Street Symphony,Monica,anger,"Oh, oh, oh
Ohhhhhh, yeah, yeah, yeah, yeah, yeah

There's something that I wanna say
I feel a little out of place
But I need you to make that change
You promised
To keep me out of the rain
I love the cars and everything
The diamond rings
But I love you much more, baby

You said that you were gonna stop when you
Had enough to do what you had to do
Now you like the profession, you've made it for yourself
You said you cared about me and you
Now all you wanna do is hustle
You gotta choose, whatcha gonna do
When am I worth it to you, baby

Never thought I'd be afraid to trust
Somebody that I love so much
If I can get him out of the streets
Then he will come back to me
Now I see that it ain't no us
Baby, to me that's a definite plus
If I can't get you out of the streets
Then you don't need to be with me

Do you love me like you say
Then maybe you could get away
From the life of doing the wrong things
You promised
Don't make me read about it baby
Think of me before I'm gone
'Cause when I'm gone, it will be too late

You said that you were gonna stop when you
Had enough to do what you had to do
Now you like the profession, you've made it for yourself
You said you cared about me and you
Now all you wanna do is hustle
You gotta choose, whatcha gonna do
When am I worth it to you, baby

Never thought I'd be afraid to trust
Somebody that I love so much
If I can get him out of the streets
Then he will come back to me
Now I see that it ain't no us
Baby, to me that's a definite plus
If I can't get you out of the streets
Then you don't need to be with me

Never thought I'd be afraid to trust
Somebody that I love so much
If I can get him out of the streets
Then he will come back to me
Now I see that it ain't no us (It ain't no us, baby)
Baby, to me that's a definite plus
If I can't get you out of the streets
Then you don't need to be with me

Never thought I'd be afraid to trust
Somebody that I love so much
If I can get him out of the streets
Then he will come back to me
Now I see that it ain't no us
Baby, to me that's a definite plus
If I can't get you out of the streets
Charge it to the game baby

Is it the streets or me (is it the streets)
The job has taken over pain (the job's taken over)
I know I've gotta leave (I know, I know)
'Cause you weren't there for me (you weren't there for me)"
Breaking the Back,Million Dead,anger,"On leaving school immersed in philanthropic notions
(Of a kind these days I find unthinkable)
I pulled my frail frame onto my charger and rode off into a sunset
With agenda predictable.

Fresh faced - young dumb and tragically convinced that
Blind faith could make an infantile, normative
Playground theory on social interaction
Positive enough to show them all, but alas!

Working the tills put hair on my chest,
Telesales made me a man! x2

And everything was going to be ok, but
The making of the man was the breaking of the back upon the rock
Of everyday hostility.

And I don't mean to seem at all ungrateful, but
The air-conditioned life has left me gasping for some real conversation.

And just because
Turing couldn't possibly conceive a machine with this little personality
I'm working shifts in veal-fattening pens,
And yet I'm puppy thin because to tell the truth I've been hanging on
For something more than distant dial tones
And a sense of ending.

The breaking of the back was the making of the man x4."
Crucify Your Beliefs,God Forbid,anger,"Crucify Your Beliefs

I must seek shelter for my sins
Leave the world behind
I must go to extremities
The death extremities
Believe in my way because I'm pure
Your ultimate is your ultimate sin
Believe in a new way to separate
Your ultimate sacrifice is your ultimate sin
I must bring myself to hell
To know what heaven is
I must go to extremities
The death extremities
Believe in my way because I'm pure
Your ultimate is your ultimate sin
Believe in a new way to separate
Your ultimate sacrifice is your ultimate sin
Crucify your beliefs and make contribution
Crucify your beliefs for the sake of redemption
Crucify your beliefs for the great contradiction
Crucify your beliefs and save your own skin
A bullet and bible is all you need
In God We Trust... On Earth We Die
This is your fate; slave on the line
Crucify your belies for the great contradiction
Crucify your beliefs and save your own skin"
Real Solution #9 (Mambo Mania mix),White Zombie,anger,"(Yeah, I remember her saying:
I'm already dead... I'm already dead... I'm already dead...
I'm already dead... I'm already dead... I'm already dead...
I'm already dead... I'm already dead... I'm already dead...

Well, today I want you each to stand up and hold your hands
I'm already dead... I'm already dead... I'm already dead...
In some stupid symbols. you're going to get up and scream.
I'm already dead... I'm already dead... I'm already dead...
You're going to get up and-
Burn an x in your head.)

Who will survive and what will be left of them?
Apocalyptic dreams see the ordinary madness
Who will survive and what will be left of them?
I never lock the dogs when the wolf is in the darkness

Come on - come on the mutherfuckers on fire
He cut through the bone, he cut through the wire!
Come on - come on the mutherfuckers on fire
He cut through the bone, he cut through the wire!

Yeah - yeah - yeah - yeah

Who will survive and what will be left of them?
Into another world number nine bring the death in
Who will survive and what will be left of them?
Loser take it all - getting high on the kick in

Yeah - yeah - yeah - yeah

Who will survive and what will be left of them?
Got 24 hours of psychoholic magic
Who will survive and what will be left of them?
Illuminate the face and the eye of the serpent

Come on - come on the motherfuckers on fire
He cut through the bone, he cut through the wire!
Come on - come on the motherfuckers on fire
He cut through the bone, he cut through the wire!

Yeah - yeah - yeah - yeah

(I just couldn't make you feel. oh, yes lord, I can feel, yes lord, yes lord, hallelujah! oh lord, I feel your victory, lord. I feel
You with me lord, hallelujah!)
(Are you hurting anyone? can you feel my heart beating, now?)

(I keep it close, I watch this heart of mine
I walk the line, I walk the line)

I'm already dead... I'm already dead... I'm already dead... I'm already dead... I'm already dead... I'm already dead... I'm
Already dead... I'm already dead...

Come on - come on the motherfuckers on fire
He cut through the bone, he cut through the wire!
Come on - come on the motherfuckers on fire
He cut through the bone, he cut through the wire!

Yeah - yeah - yeah - yeah

(I just couldn't make you feel. oh, yes lord, I can feel, yes lord, yes lord, hallelujah! oh lord, I feel your victory, lord. I feel
You with me lord, hallelujah!)
(Are you hurting anyone? can you feel my heart beating, now? do you feel like hurting anybody else? do you feel like hurting
Anybody else?)
(Why should I hurt anybody else? hallelujah!)"
Sadiddy,Brandy,anger,"You can't deny it a lil' bit
All the lies, all the lil' shit
I've worked for mines
You'll get none of it
Stop talkin' about what you want to get
You say that I wasn't really kind
And all this ice isn't really mines
All because you want to piece of it
Putting down my name goin' have cease a bit
[Chorus: x2]
If you say it, I will do it, no I ain't sadiddy
If you cross me, I guarantee you it, won't be pretty
If you want it, I will give it to you, I ain't sadiddy
I be wildin', I know it ain't easy to get with me
Yeah, today's a new day
Yeah, my girls are with me
Yeah, we all came out to play
If your rollin' with me don't try to be sadiddy
(No) It's a shame how you spend your day
You swear that I'm always in your way
Cause I ball out all in your face
But I don't care doin' what you say
All I can do is be myself
To do my thing I don't need no help
It's all good 'till you disrespect
If you step out of line know you will get checked
[Chorus: x2]
Yeah, today's a new day
Yeah, my girls are with me
Yeah, we all came out to play
If your rollin' with me don't try to be sadiddy
No matter what you say
Want to diss me than you may
Gotta do what I know best
Top-notch and no less
Much love for my people
Treat 'em like we all equal
So don't try to tell me that I'm tryin' to be sadiddy
No matter what you say
Want to diss me than you may
Gotta do what I know best
Top-notch and no less
Much love for my people
Treat 'em like we all equal
So don't try to tell me that I'm tryin' to be sadiddy
[Chorus: x5]"
World Destruction,Time Zone,anger,"Speak about destruction. (x3)

This is a world destruction, your life ain't nothing.
The human race is becoming a disgrace.
Countries are fighting with chemical warfare.
Not giving a damn about the people who live.
Nostradamus predicts the coming of the Antichrist.
Hey, look out, the third world nations are on the rise.
The Democratic-Communist Relationship,
Won't stand in the way of the Islamic force.
The CIA is looking for you.
The KGB is smarter than you think.
Brainwash mentalities to control the system.
Using TV and movies - religions of course.
Yes, the world is headed for destruction.
Is it a nuclear war?
What are you asking for?

This is a world destruction. Your life ain't nothing.
The human race is becoming a disgrace.
The rich get richer.
The poor are getting poorer.
Fascist, chauvinistic government fools.
People, Moslems, Christians and Hindus.
Are in a time zone just searching for the truth.
Who are you to think you're a superior race?
Facing forth your everlasting doom.
We are Time Zone. We've come to drop a bomb on you.
World destruction, kaboom, kaboom, kaboom!

This is the world destruction, your life ain't nothing.
The human race is becoming a disgrace.
Nationalities are fighting with each other.
Why is this? Because the system tells you.
Putting people in faceless categories.
Knowledge isn't what it used to be.
Military tactics to control a nation.
Who wants to be a president or king? Me!
Mother Nature is gonna work against you.
Nothing in your power that you can do.
Yes, the world is headed for destruction.
You and I know it, cause the Bible tells you.
If we don't start to look for a better life,
The world will be destroyed in a time zone!

Speak about destruction. (x3)"
Arsenal,Kidneythieves,anger,"naive little pieces of
what they tried to teach her
quiet and protected
slightly anorexic

(She Waits)
she's a time bomb, with her vibe on
she's gonna use it and surprise them
she's a time bomb, with her vibe on
they'll never know where she got her weapon.

they really don't believe her
she keeps it all a secret
found the Golden Muses
doesn't need to prove it

(She Waits)
she's a time bomb, with her vibe on

she's gonna use it and surprise them
she's a time bomb, with her vibe on
they'll never know where she got her weapon.

naive little pieces
she thought that they could see her
but soon the Desert Pigs will know
she's holding in an arsenal.

(She Waits)
she's a time bomb, with her vibe on
she's gonna use it and surprise them
she's a time bomb, with her vibe on
they'll never know where she got her weapon.

She Waits."
Walk In New York,Onyx,anger,"One time One time... thats it
Yeeeaaahhh
This the Onyx shit know what I'm sayin
Coming out the mother fucking crevices
Coming out the fucking cracks like snakes boy
Word to mother
All my niggas in Queens and ya dont stop
All my niggas in Brooklyn and ya dont stop
All my niggas Uptown and ya dont stop
All my niggas in the boogiewoogie and ya won't stop
We gonna set this shit New York style

We don't throw gang signs in New York
We just be on some shit in New York
New York City, shiftee low down gritty
You punk niggas yell pity and smell shitty
NYPD can suck my dick
This is the way we rip shit from the bricks
Walking like a zombie smoking blunts in the lobby
I be rollin with more niggas behind me than Khadafi

Attention, fuck all that slippin and itchin
I'm rappin, loot snachin, stayin greasy this shit ain't easy
I'm comin rawhide, serious as a four five
Them damn streets are eager to claim all lives
But fuck it, it's my home hate it or appreciate it
It's the torrid 8 million story orientated
Designated and made for the real renegades
So I never been afraid to stomp, comp, then get paid

This is the way we walk in New York
This is the way we walk in New York
This is the way we walk in New York
This is the way we walk in New York

I'ma stay on my job, cause that's my adventure
I was bred to be a big gainer who contained a precent of the
U.S.G. which make me switch like a schizo
Where I roam it gets so hot but never blow my cool at no spot
If the heat got too much I'ma slide down south
Outta town bound, either home or away
New York hold shit down on keep locked we rock all night
And if Zoo York niggas wasn't part of your shit, your shit wasn't right
We known to start shit up from trends, to riots, to fracas
And big enough to fuck up anybody that wanna attack us
And that's cause the five boroughs are deep
Most of us are peeps, true Zoo York niggas we play for keeps

(Wanna be a part of it--New york is always starting shit)

Fuck that, I'm the nasty native New Yorker
The full of shit talker
The dark street walker
Sign of the time stalker
Bringin it back to reality, this is for my niggas in NYC

Not since '76

Since the Knicks won the championships
Has there been some more shit like this
So back up, get off of that soft or wack rap style
My shots ring loud, and panic the crowd
Blowin' up
Get up, my sounds downtown
Hold 'em up
Give me everything right now
So fuck the mayor, fuck Rudy, Ray, and the governor
Ya'll niggas couldn't walk my walk, my talk's ruggeder

This is the way we walk in New York
This is the way we walk in New York
This is the way we walk in New York
This is the way

Yeah, I'm from the place where criminals is born
And Sticky Fingaz ain't never led a nigga wrong
Representin New York City and for what it's worth
Yo we the triflest mother fuckers on the face of this Earth
So if you don't like your life fuck with a nigga from New York
The instincts we got is to shoot first then talk
But what seems to always gives us away is our ""niggery"" walk
And I speak from experience, so pleader take heed to advice
We sellin guns and drugs and sex or anything for the right price
The crime rate's so goddamn high, we had to name the shit twice
Cause tourists be scared to death to visit the criminal's paradise
Home of bloodshed and tears and for souvenirs there's fears
It appears nobody cares so say your prayers
Or you gonna get double crossed and set up, either head up or shut up
Cause bullets ain't got no names and anybody could get wet up
And end up on the front page of the Daily News papers
But while crooks dressed in Brooks and behind desks in skyscrapers
And I never bought no shit, but then I never took no shit
I'm a kleptomaniac, I think I got a fuckin' habit
So lick shot to all the boroughs and ghettos across the nation
Other states who could relate get bullet proof appreciation
Cause

This is the way we walk in New York
This is the way we walk in New York
This is the way we walk in New York
This is the way we walk in New York
This is the way we walk in New York
This is the way we walk in New York
This is the way we walk in New York
This is the way - this is the way - this is
The way we walk in New York"
Subject To Status,Pitchshifter,anger,"Bet ya, they're gonna get ya, sooner or later, one way or another.
""Yes please"" I want to see the Achilles species down on its knees.
Yes sir they're gonna save us (subject to status).
Absolution guaranteed (for a small additional fee).
And the first will be first and the last won't last.
Next time, 'm gonna get mine, sooner, later, one way or another.
Next scene I want to be malignant instant ""watch your back"" guarantee."
