track,artist,final_emotion
Ripping Me,Bulletboys,neutral
Down-N-Dirty,Little Caesar,neutral
My Saltine,Bang Tango,neutral
Love Drug,Vain,neutral
Cajun Panther,Little Caesar,neutral
Yellow,Davy Vain,neutral
"Kickstart My Heart [Live in Dallas, TX]",Mötley Crüe,neutral
Up Against the Wall,Heaven's Edge,neutral
Last Kiss,Bang Tango,neutral
Acceptable In The 80's (XFM Live session Version),Calvin Harris,neutral
Livin' In The No (Demo),Mötley Crüe,neutral
Midtown,Little Caesar,neutral
1984 (Nanny Nation),Towers Of London,neutral
I'm the message (Felix da Housecat Remix),Karl Bartos,reflective
Long Time Ago,Vain,neutral
In From Out Of Nowhere,Davy Vain,neutral
Dee Dee,Vain,neutral
Ring My Bell,Salty Dog,neutral
Duck Season,Digital Underground,neutral
Heard It All,Dangerous Toys,neutral
Electric,Davy Vain,neutral
Blowin' Smoke,Nashville Pussy,neutral
Cactus Juice,Bang Tango,neutral
Pimp Jackson is Talkin Now!!!,Loco Dice,neutral
Diss,Bulletboys,neutral
Sweet Woman Blues (1981 rehearsal),The Cramps,neutral
Wrong Side of the Tracks,Little Caesar,neutral
Voyeurism,Vain,neutral
Nobody Rides for Free,Dirty Looks,neutral
Get Up,Vain,neutral
Hard to Hold,Every Mother's Nightmare,neutral
Night Drive (Thru Babylon),Model 500,neutral
Far Away,Vain,neutral
Family,Vain,neutral
On the Road Again,Buckcherry,sadness
Joint Chief,RTX,neutral
Rock-N-Roll State of Mind,Little Caesar,neutral
Trinity,Davy Vain,neutral
Little Queenie,Little Caesar,neutral
Rum ANd Coke,Little Caesar,neutral
Hit & Run,Vain,neutral
Shouldn't Cry,Vain,neutral
Wake Up,Vain,neutral
Every You Every Me (Sneaker Pimps remix),Placebo,neutral
La Vie C'est Chouette,Jodie Foster,neutral
Layin' Low,Vain,neutral
Long Haired Country Boy,Every Mother's Nightmare,neutral
Gonna Hitchhike Down,Nashville Pussy,neutral
Ticket Out'a Here,Vain,neutral
One Of A Million,Baby Jane,neutral
Languish,Vain,neutral
Bad on Love,Every Mother's Nightmare,neutral
Size Queen,Jennyfer Star,neutral
Crumpled Glory,Vain,neutral
Never Loved Her Anyway,The Scream,neutral
Mona Lisa,Tin Man,neutral
Do You Sleep With Strangers,Vain,neutral
New York,Davy Vain,neutral
Playing For Keeps,Dragpipe,neutral
Resurrection,Vain,neutral
It's Too Bad,Vain,neutral
Cat's Got Nine,Salty Dog,neutral
Thirteen Moons,Enbilulugugal,neutral
Sit On The Fence,Diva Int.,neutral
Heartbreak Blvd.,Shotgun Messiah,neutral
Come On Now,Davy Vain,neutral
No Bones About It,Johnny Crash,neutral
Oh No Way!,The Bon Vivants,neutral
Hooligan's Holiday (extended Holiday Version),Mötley Crüe,neutral
Bishops Gate,Towers Of London,neutral
All The Way In Love,Johnny Crash,neutral
Do It,Sinisstar,neutral
Save Me,Puredecay,neutral
Axe To The Wax,Johnny Crash,neutral
Thrill Of The Kill,Johnny Crash,neutral
Fast Cars,Z-Factor,neutral
Crack Of Dawn,Johnny Crash,neutral
Afraid (Swine Mix/Jimbo Mix),Mötley Crüe,neutral
New Skin,Towers Of London,neutral
Real Rock Drive,Little Caesar,neutral
Rat Race,Child's Play,neutral
Freedom Road,Johnny Crash,neutral
Stand Up,Little Caesar,neutral
Suffragette City,L.A. Guns,neutral
Can't Get Back,Vain,neutral
Ivy's Dreams,Vain,neutral
Where the Sun Don't Shine,Salty Dog,neutral
Redemption,Little Caesar,neutral
Hollow & Spin,Vain,neutral
Sugar Shack,Davy Vain,neutral
Lonesome Fool,Salty Dog,neutral
Lord Willin',Every Mother's Nightmare,neutral
Sink Or Swim,Johnny Crash,neutral
Halfway To Heaven,Johnny Crash,neutral
Night Of The Cadillacs,L.A. Guns,neutral
New Angst Orgy,Puredecay,neutral
R2F,Avenue D,neutral
Papa's Got A Brand New Bag,L.A. Guns,neutral
Spoonful,Salty Dog,neutral
In From the Outside (live),Cinderella,neutral
Baby's Like A Piano,Johnny Crash,neutral
Day After Night,Child's Play,neutral
Keep Me Down,Salty Dog,neutral
Turn My World Around,Little Caesar,neutral
Trigger Happy,Johnny Crash,neutral
Go Away,Dirty Looks,neutral
Perfume,Tin Man,neutral
I want a monster to be my friend,the Dead Hensons,excitement
Slow Daze,Salty Dog,neutral
Heave Hard (She Comes Easy),Salty Dog,neutral
Turn of the Screw (Who's Screwing You),Dirty Looks,neutral
mr nasty time,Halfway to Gone,neutral
Big Fuckin' Deal,Slik Toxik,neutral
Sacrifice Me,Salty Dog,neutral
"Cuz It's Hot (12"" Version)",My Life with the Thrill Kill Kult,neutral
And The Cradle Will Rock..,Van Halen,neutral
Knock Me Out,Child's Play,neutral
Only Way Out,The Throbs,neutral
Laughing With the Dead,Bulletboys,neutral
Human Pony girl,Gold Chains,neutral
Nothin' but a Dream,Salty Dog,neutral
Sing a Song,Bulletboys,neutral
Killer Mahari,L.A. Guns,neutral
Crosstop,Bulletboys,neutral
Helluvatime,Slik Toxik,neutral
Teachers's Pet,Petty Booka,reflective
Nightmare,Lori Burton,neutral
Back Door Beauty,Pistol Kixx,neutral
C'mon Frenchie,Dirty Looks,neutral
"Brixton Breifcase (Kevin Park  US 12"" Remix)",The Thought Criminals,neutral
1-800-Goodbye,Bulletboys,neutral
Wind,Child's Play,neutral
Wild Thing,Tone-Loc,neutral
Too Fast for Love [Alternate Intro],Mötley Crüe,neutral
Take What Ya Get,Dirty Looks,neutral
L.A. Anna,Dirty Looks,neutral
The Rising,Bulletboys,neutral
The Show,Bulletboys,neutral
Too Tight,Faster Pussycat,neutral
Hot Flash Jelly Roll,Dirty Looks,neutral
Love Screams,Dirty Looks,neutral
Girl Like You,Child's Play,neutral
Don't Make Our Love A Crime (demo),Cheap Trick,neutral
When Hell Freezes Over,Child's Play,neutral
Slammin' to the Big Beat,Dirty Looks,neutral
For the Damned,Bulletboys,neutral
I Need Love (demo),Cheap Trick,neutral
Always a Loser,Dirty Looks,neutral
Damned If I do,Child's Play,neutral
Have Some Balls,Dirty Looks,neutral
Fess,Bulletboys,neutral
White Lies/Black Truth,Slik Toxik,neutral
Midnight Rider,Buckcherry,neutral
Soft Sky,Matt Boroff,neutral
Belly (Boody B Remix),Mapei,neutral
Heaven 2.9 (Live),Backyard Babies,neutral
Pay Your Dues,Child's Play,neutral
OnceBittenTwiceShy,Poison,neutral
Payback (Live),Backyard Babies,neutral
Raising Tomatoes,Royal Blood,neutral
What Goes Up,Julian Angel,neutral
Marionette,Slik Toxik,neutral
Song,Action Swingers,neutral
Rock 'n' Roll Trash Queen,Pistol Kixx,neutral
Rock And Roll (Is Gonna Set The Night On Fire),Pretty Boy Floyd,neutral
Cuban Bush,Action Swingers,excitement
Sweet Asylum,Slik Toxik,neutral
Tell Me That You Love Me,Little Caesar,neutral
Wild West (live),Pistol Kixx,neutral
Cherry Bomb,Slik Toxik,neutral
I'm Dead,Action Swingers,neutral
Harlem Nocturne,Boots Randolph,neutral
Here Again (acoustic),The Soho Cobras,neutral
Wild West,Pistol Kixx,neutral
Get in My Car,Pope John Paul the Third,neutral
"Child Called ""It""",Buckcherry,neutral
FDR,Pistol Kixx,neutral
Can't Fuck Wit This (Album Version),Kool Keith,neutral
Back Door Beauty (live),Pistol Kixx,neutral
Sleazy,Man Bites God,neutral
Crashed,Slik Toxik,neutral
Get It On,The Soho Cobras,neutral
Weazal,Bulletboys,neutral
Bigtime (Album Version),The Soundtrack of Our Lives,neutral
Fill My Greed,Pistol Kixx,neutral
Rachel's Dead,Slik Toxik,neutral
Teaser / Pleaser,Julian Angel,neutral
Every Picture Tells A Story - Happy,Little Caesar,neutral
Lounge Lizard (PLEM mix),The Original Kenyons,neutral
Shits Going Down (live),Pistol Kixx,neutral
arabian sacrifice,Nemesy,neutral
Bigger With A Trigger,Backyard Babies,neutral
Futurama,Bang Tango,neutral
Black Heart (acoustic),The Soho Cobras,neutral
so young,The Jills,neutral
Inside the Cage,Juliette & The Licks,neutral
Pretty as a ($),Marilyn Manson,neutral
So Sexo,Mauno Kalevi,neutral
Sexbomb [Peppermint Jam Mix],Tom Jones,neutral
City Sniff,Pistol Kixx,neutral
Downtown Mama,Little Caesar,neutral
Crosskeys,Royal Blood,neutral
I do U,KingOfTheHill,neutral
The End That You're Looking For?,David Bass,neutral
Since you've been gone,Puredecay,neutral
Work With It,The Church Keys,neutral
Boyz Will Be Boyz,Pistol Kixx,neutral
Okie Dokie,Dan Deacon,excitement
Sriracha,Tech N9ne,excitement
Hidden Hand,The Budos Band,excitement
Hilo,Antibalas Afrobeat Orchestra,joy
Riding To Rio,William Orbit,excitement
Kudu,Eddie Henderson,joy
You Got the Stuff,Bill Withers,excitement
Oye Cómo Va,Tito Puente,excitement
체온 Between Us,LABOUM,excitement
The Blind Leading The Blind,The Souljazz Orchestra,excitement
Your Lips,Olu Dara,neutral
Green Tea (Jazidjazzdub),Slow Supreme,excitement
Live in the Light,Fertile Ground,excitement
Yellow Daisies,Fertile Ground,excitement
Whatever Happened to My Rock and Roll (punk song),Black Rebel Motorcycle Club,excitement
Berceuse,The Funky Lowlives,neutral
I'm Diggin' You (Like an Old Soul Record),Me'Shell Ndegéocello,excitement
Moon Goddess,Jimi Tenor,joy
Sound System Children,DJ Cam,excitement
Relief for Free,Emo,reflective
Someday (Etude for the Right),Jazztronik,excitement
Release,Ursula Rucker,excitement
chocoholic n0iZ,Sug,excitement
Spirit World,Fertile Ground,excitement
Dance the Body Music,Osibisa,excitement
The Coffee Song,Osibisa,neutral
Asfâr,Le Trio Joubran,neutral
Habanero,Tech N9ne,excitement
Mirror Mirror On The Wolf (Bonobo Mix),Alice Russell,excitement
Rock The,BoBmo,excitement
Alfala,Jazztronik,joy
La Mantilla,Esquivel,excitement
6 Minutes,Martina Topley-Bird,excitement
Brief Encounter,Trey Gunn,sadness
Neptune,Break Reform,excitement
Futi,Goran Kajfes,excitement
Gbedu 1,Dele Sosimi,excitement
Chili Mac,Preston Love,excitement
Bamako,Roswell Rudd,excitement
Duet for Kamancheh and Tombak,Kayhan Kalhor,excitement
Flavored Atmosphere,Red Buddha,excitement
"Kat DeLuna Feat. Busta Rhymes - Run The Show [CeRa, KiKo y NiGGa Reggaeton Funky Konvict Remix] (Enero 2008)",Kat DeLuna Feat. Busta Rhymes - Run The Show (Konvict Remix),excitement
Damn Straight,Teddy Rok Seven,excitement
The Broken Switch,Float Face Down,excitement
Groovy Spirit,Jackie Mittoo,excitement
Spaces & Echoes,Teddy Rok Seven,excitement
Cottontail,Bill Laswell,excitement
Goodbye (Orchestral Mix),Spice Girls,excitement
Spirit (London Electricity Remix),Victor Davies,excitement
Torch Of Freedom,Cleveland Watkiss,excitement
BMW,Chicago Afrobeat Project,excitement
Me and Me,Les Nubians,excitement
Miserlou,Dick Dale and His Del-Tones,excitement
The Stopper (Richard Dorfmeister's Full Moon 6 live dub),Cutty Ranks,excitement
Illumination,Fertile Ground,neutral
Minte-ma,Parazitii,excitement
I Am What I Am,Sister Carol,excitement
Mount of Olives Dub,Augustus Pablo,excitement
HOT C,Eero Koivistoinen Music Society,excitement
Silent Voice,Innocence,excitement
Sotto Controllo (San Juan Street mix),Ayro,excitement
6 DOWN,Eero Koivistoinen Music Society,excitement
Sodewou (Welcome),Maryam Mursal,excitement
Ye Ye,Mongo Santamaria,excitement
Could Heaven Ever Be Like This (Bugz In The Attic),Alice Russell,excitement
Oladipo,Scott Amendola Band,excitement
Tedose,Captain Yaba,excitement
Crosstown Traffic,The Gil Evans Orchestra,excitement
Asha,Asha Puthli,excitement
The Clearing,Pattie Blingh and The Akebulan Five,excitement
Capullito Del Aleli,Jazz Jamaica All Stars,excitement
Reflections,Innocence,excitement
07 - Steve Reich - D_Note _,Steve Reich,excitement
Praalude (Sonic Trance),Nicholas Payton,excitement
Chick,Frank Mccomb,excitement
Theorema del Faya (Fire Theory) (Ian Friday Tea Party Vocal),Anto Vitale,excitement
Do The Boomeloom,Ridin' Thumb,excitement
Como ruge la candela,Clave Y Guaguancó,excitement
Tip Of The Iceberg (Club),Black Uhuru,excitement
Cinnamon,Big Cock,excitement
Imunização do Racional,Soul.za,excitement
Piel Canela  (Cinnamon Skin) (LP Version),Linda Ronstadt,excitement
Mandingo,Sila and the Afrofunk Experience,excitement
From The Files Of Agent 22,Conjure,excitement
Be About the Future,Oneness of Juju,excitement
Follow Your Path,Soothsayers,excitement
Iranian Kamancheh Improvisation,"Matthaios Tsachouridis, Hussein Zahawy, Ardeshir Kamkar",excitement
West Wind,Oneness of Juju,excitement
Behind Kungstradgarden,Melvyn Price,excitement
BUSHMAN,Asiko,excitement
La Villa,Clifford Brown,excitement
Spoken Word,Cleveland Watkiss,excitement
Katika (dance),Sila and the Afrofunk Experience,excitement
Lost City,Soothsayers,excitement
Io,Super-A-Loof,excitement
Au Caire,Cédric Vuille,excitement
ain't that somethin' (intro),Sharpshooters,excitement
Mas Que Nada,Al Jarreau Feat. Marcus Miller,excitement
POcket LiNT,Marc Cary & Chance,excitement
Tu Voz,Celia Cruz & La Sonora Matancera,excitement
Interlude,The Soul Syndicate,excitement
Very Serious,Cleveland Watkiss,excitement
Populär,ohrdinär,excitement
no se de ti,Achiote,excitement
Nomusa / Ndikho Xaba,Oneness of Juju,excitement
Sou voce,Daniela Mercury,joy
Plastic / Juju & The space rangers,Oneness of Juju,excitement
Groovin' Field,Ryo Kawasaki,excitement
Ascension,Ryo Kawasaki,excitement
Think About It,R. Mutt,excitement
Cantandole Al Amor,Mongo Santamaria & Justo Betancourt,excitement
dreAM deferrED,Marc Cary & Chance,excitement
Don't Love You Back (feat. Tenor Blue),Annette Brissett,excitement
On the Dance Floor,André Beraldino feat. Paula Portella,excitement
Tomorrow,Emiliana Torrini,excitement
With Every Thought,Super Nintenbros,excitement
I Like The Way,Body Rockers,excitement
Picture of sunny red chilli,M.Janicki,excitement
Emoții (remix) (feat. Andre),Parazitii,excitement
Prince of Labia,Dr Brown and the Poundtown Hounds,excitement
Just Be Good,Jose James,excitement
Soul Power'74,Maceo And The Macks,excitement
Al Jarreau Featuring Marcus Miller - You Don't See Me,Various Artists - Pozytywne Wibracje 6 - Cd2,excitement
Santa Fé,Angela Aki,excitement
PLASTIC JESUS,SYSTEM OF A DOWN & MARILYN MANSON,excitement
Run Away,Ruth Tafebe & The Afrorockerz,excitement
Do You Remember,Ane Brun,neutral
Silence,Mar,sadness
A Certain Kind,Carsten Jost,sadness
Cruel but Just,Judgehydrogen,sadness
Planctus David,Peter Abelard,sadness
A Whiter Shade of Pale [Stereo Version],Procol Harum,sadness
Round Bloxax,Skerror,reflective
Winter Haiku,Tim Doyle,sadness
"Passacaglia and Fugue for organ in C minor, BWV 582",Peter Hurford,sadness
And the Same,Fugazi,joy
The Kill,Fugazi,reflective
Peace Attack,Sonic Youth,reflective
Return of the Loop Digga,Quasimoto,calm
Wow and Flutter,Stereolab,reflective
Backwater,Brian Eno,sadness
Air Towel,Underworld,calm
Inutile Et Indispensable,Little People,reflective
Promise to Me,Mirah,reflective
The Planet,Gang Starr,reflective
Casting Agents and Cowgirls,Busdriver,joy
Geto Heaven Part Two,Common,reflective
Things U Do,Q-Tip,reflective
Spelunking,Laura Veirs,reflective
Dine,Q and Not U,reflective
Fishfred,Kettel,reflective
Perfect on Paper,Her Space Holiday,reflective
Aleph 1,Photek,reflective
Why Does the Sun Shine? (The Sun Is a Mass of Incandescent Gas),They Might Be Giants,excitement
Smokin Japanese Babe,The Future Sound of London,reflective
Lemon Yoghourt,Manitoba,reflective
The Mercury Craze,Subtle,reflective
So Long,Loose Fur,reflective
Titanium Expos,Sonic Youth,reflective
Semen Song for James Bidgood,Matmos,reflective
Rainstorm Blues,Flying Saucer Attack,reflective
Let's Dance,Hawk Nelson,joy
Wake me up inside (GOOD COPY) w/ linkin park,Evanescence,reflective
Laugh Some Day,Cire,reflective
Adrenological,Cire,sadness
Red Queen,Cire,reflective
Inside,Collide,joy
Crave & Fall,Secede,neutral
Lake Nocturne,Vector Lovers,reflective
Autonomy,Cire,reflective
Desert Sea,Jawbox,reflective
Coming In Tune,Cire,reflective
Arabian Gothic,Dead Can Dance,sadness
None Except You,Emptyself,calm
Tryptamind,Cire,reflective
Phantoms In The Sky,Emptyself,reflective
Clear,Cire,reflective
Untouchables,Eric B. & Rakim,reflective
Step One,Jimmy Robbins,joy
All In The Appraisal,Cire,reflective
Auto-Tech Pilot,The Fall,sadness
Contact Lost,DJ Zinc,reflective
Liberated,Emptyself,joy
Spaceotemporal,Cire,sadness
Whizz Kid,The Amplifetes,joy
The Open Landscape,Emptyself,sadness
The Postulate,Emptyself,calm
Swimmer,Kathryn Williams,joy
Lead Me On,Breakage,neutral
Meta,Cire,reflective
Lunar Landing,Trans Am,reflective
The Multiverse,Voivod,reflective
Harmless?,Cire,reflective
Doll Faced Vulture,Emptyself,reflective
Forget Me Please,Emptyself,reflective
Ropes Curtains,Aphex Twin,calm
Giant Steps,Gonzalo Rubalcaba,reflective
The Corner Dirty,Common,reflective
Porcupine Night Walk,Eivind Aarset,reflective
Love Like This,Scroobius Pip,neutral
Riverside,Mothlite,reflective
Traffico,Klute,reflective
Supernova 2,Gonzalo Rubalcaba,joy
Neph,Jello,reflective
Prelude to Love,Hilary Stagg,calm
Surrender,Jon Anderson,neutral
Non Song,To Rococo Rot,reflective
New Gods,Jon Hassell,reflective
Meltdown (Remix),Omni Trio,reflective
Tinylittle,Mellowdrone,reflective
The Curse,Terje Rypdal,reflective
Pink Blind,lovesliescrushing,reflective
Im,Bugge Wesseltoft,reflective
Odessa (feat. Dose One),Aesop Rock,reflective
Just Go On,Emptyself,neutral
Relevee (Carl Craig Remix),Delia Gonzalez & Gavin Russom,joy
Motherly Advice,A Shoreline Dream,reflective
The Cigarette Girl from the Future,Beauty Pill,joy
Nightfall,Gonzalo Rubalcaba,calm
Toothbrush,DJ Zinc,reflective
Anglophile,Mellowdrone,neutral
Lifeguard In Wintertime,Beauty Pill,reflective
There Is a Bed,Marc Almond,reflective
Spring Fever,Nadia Birkenstock,reflective
CATALYST,Klimek,reflective
La oveja negra,Silvio Rodríguez,reflective
Stockholm Syndrome,Greydon Square,neutral
What Makes the Cherry Red,Christine Fellows,reflective
~,HAPPY TRENDY,reflective
Gunning For The Buddha,Shriekback,reflective
Won't You Be Mine,Beauty Pill,reflective
Trance,Breakage,reflective
Copyists,Beauty Pill,reflective
Quasar,Gonzalo Rubalcaba,reflective
Angles,Scroobius Pip,sadness
The Beacon,Ocean,reflective
We're All Boned,Williamson,reflective
Jeanne,Air - Françoise Hardy,reflective
God is Art,Shiv-R,neutral
Pharmaceutical Grade,Shiv-R,neutral
Eve,Breakage,joy
Petl,Ochre,reflective
I Will Have My Portion,Susan Werner,reflective
Everything (After A Gasp),Loose Lips Sink Ships,reflective
Never Ending,Klute,neutral
Ghostbusters,Ed Rush & Optical,reflective
Them Buried Standing,David Torn,reflective
Steal the Crown,Glue,reflective
Brussels,Jon Hassell,reflective
Live From The Stage (Album Version),Team Sleep,joy
Stem/Long Stem**Transmission 2,DJ Shadow,reflective
Where's My Sex,Weezer,reflective
A Rational Response,Greydon Square,reflective
7LOW01,Distant Fires Burning,sadness
Piano Three Hands,Morton Feldman,sadness
The Kardashev Scale,Greydon Square,reflective
The Compton Effect,Greydon Square,reflective
Lugu Lake,Freeform,reflective
Trek,Savage Republic,reflective
Unsung Heroes,Bill Frisell,reflective
limurite tekond,Myrakaru,reflective
Molotov,Greydon Square,reflective
Assembly,Savage Republic,joy
The Lover's Plea,The Silver Wizard Project,sadness
Hot Thing [Album Version],Talib Kweli,reflective
Ocean Floor,Goatsniffer,reflective
Star View,Greydon Square,reflective
Onward,Greydon Square,reflective
Cape Cod Getaway,Ezekiel Honig,joy
Brains,Greydon Square,reflective
Myth,Greydon Square,reflective
Dopamine Notes,Greydon Square,reflective
Same Space (Tugboat Complex Pa,Aesop Rock,reflective
The Cpt Theorem,Greydon Square,reflective
Proof Of Concept,Greydon Square,reflective
Special Pleading,Greydon Square,reflective
Feeling Strange,Jennifer Cardini,reflective
That's all Rights B,The Removers,joy
Exposure,Jean Renouard,reflective
Kamerah,The Removers,reflective
Up,The Removers,reflective
HAnkh,Zailm Atoyanh Group,reflective
4th,Greydon Square,reflective
A Soldier's Poem,Greydon Square,reflective
Judgement Day,Greydon Square,reflective
One Hundred Years,Five for Fighting,reflective
Galaxy Rise,Greydon Square,reflective
Eazy Control,Deep Inc,reflective
Mirage,Terje Rypdal,reflective
As An Artist,Greydon Square,reflective
Bass & bells,Mr.Smiff,reflective
Black Beauty,Kroakers,reflective
Travelling,The Removers,reflective
Speak To Him,Greydon Square,reflective
Prison Planet,Greydon Square,reflective
Theory Machine,ZAILM Atoyanh,reflective
"A moment to you, a moment to me",The Removers,reflective
Peace Peace,Greydon Square,reflective
A Nu Consortium,ZAILM Atoyanh,reflective
Zone 7,Vladimir Lisanovitch,reflective
Prophecy,ZAILM Atoyanh,reflective
Metaphor Swordsman,Greydon Square,reflective
1,Steve Reich,reflective
Cold Fusion,Vladimir Lisanovitch,joy
SiO2 (Ext of Orthochrones),ZAILM Atoyanh,neutral
Search Paradise,Vladimir Lisanovitch,reflective
chilled #6,Nonplace Urban Field,reflective
Interstellar,Greydon Square,reflective
A Way To Say Goodbye,Mike Viola,reflective
Island Of No Return (LP Version),Billy Bragg,reflective
Searching for 9,Stray Theories,reflective
KameraH ReMaster,HAnh-NEhyah Label Ltd ©,reflective
Old School [Featuring Talib Kweli],DANGERDOOM,excitement
Travelling B,Ursull Manchill,neutral
Arrival,ZAILM Atoyanh,reflective
Gang vorher,Ursull Manchill,reflective
To Live In A Cathedral,The Removers,reflective
Ici ou ailleurs (feat. Syleena Johnson),IAM,reflective
Gate One,ZAILM Atoyanh,reflective
No gravity,ZAILM Atoyanh,reflective
Blue Airplane,ZAILM Atoyanh,reflective
Unsettled Frequencies of Time,Ursull Manchill,reflective
Lucia Pt. One,Ian O'Brien,reflective
Heirs of the Fire,Xela,reflective
The Beginning,Drunk With Joy,reflective
Zone 5 B,The Removers,reflective
Prick (Distant Fires Burning Mix),Dementio13,reflective
Black Atheist,Greydon Square,reflective
Ruff Dub (Breakage & Rohan),Breakage,reflective
Woman,Drunk With Joy,reflective
The Backyard (T'Be Continued),Robert Ashley,reflective
Confession,B T S,reflective
The Boy Must Die,Drunk With Joy,reflective
War Porn,Greydon Square,reflective
Five-Colored Hands,True Womanhood,reflective
Airport Movements,ZAILM Atoyanh,reflective
ELEMENTS SET I,ZAILM Atoyanh,reflective
Motor Air,ZAILM Atoyanh,reflective
Tunis,The Removers,reflective
Go In Stay In Tune In,Drunk With Joy,reflective
Unpredictable,The Removers,reflective
kameliah's Nightmare,ZAILM Atoyanh,reflective
Good Night Stranger,ZAILM Atoyanh,reflective
Sound Living,Drunk With Joy,reflective
I'm On Fire,Drunk With Joy,reflective
Lullaby,Drunk With Joy,reflective
I've Been A Fool For You,Baader Meinhof,neutral
Norway,ZAILM Atoyanh,reflective
Boulevards ReMaster,HAnh-NEhyah Label Ltd ©,reflective
SaHa,The Removers,reflective
Tell Tale Hart,Gavin Friday,reflective
Acid Mothers Temple / It's Nice to hear your Voice,Kinski,sadness
Mhadhuum (4 The Removers),ZAILM Atoyanh,reflective
Part Five,The Removers,reflective
05_Caan Haa,Hyperwind,reflective
Nocturnal Rubbish,ZAILM Atoyanh,reflective
Prick (Distant Fires Burning Mix),Dementio13/Distant Fires Burning,neutral
Wound of Dreams,ZAILM Atoyanh,reflective
Steff,ZAILM Atoyanh,reflective
Dringlichkeit(4Ursull Manchill),ZAILM Atoyanh,reflective
Morphee,ZAILM Atoyanh,reflective
Remind Me To Breathe,This Mother Falcon,reflective
Sweet Somethings,Skerror,joy
Shadows,Sports Analogy Judo,reflective
Ligeti: Chamber Concerto for 13 Inst. - Corrente,Aarhus Sinfonietta,sadness
Find peace,ZAILM Atoyanh,reflective
InTox,Manchill - Zailm - Torroff,reflective
Le Représentant,The Removers,neutral
Venus In Furs,The Velvet Underground & Nico,reflective
Smuggle Smaddle,Skerror,neutral
Liger - Split Yourself Lilith (Skerror Oil Lamp Refract Mix),Skerror,reflective
Where Are Me Taking Me,Skerror,neutral
Choice,Err,reflective
"1-2, 1-2",Greydon Square,reflective
Sensiplede,Skerror,reflective
Tree Rot Wisdom,Skerror,reflective
Embraceable You,George Braith,reflective
Sleight of Hand,Skerror,neutral
Snake Dancer,Skerror,neutral
Grotesquous,Skerror,neutral
Clear Moment (Distant Fires Burning Remix),Northcape,neutral
Eye Cycle CC,Skerror,neutral
Mirrors and Sighs,Skerror,neutral
Black Lagoon,Skerror,neutral
Digging Up,Skerror,neutral
Vamp Vessel,Skerror,neutral
Cold Fuzzies,Skerror,neutral
Prism Ink,Skerror,neutral
Toadstool Workstation,Skerror,neutral
Typhoozy,Skerror,neutral
Troglomite,Skerror,neutral
luminescent,ardenn,neutral
Escape Artist,Skerror,neutral
At the river (Fatboy Slim remix),Groove Armada,reflective
Poison Pathics,Skerror,neutral
I Wipe My Ass On Your Novel,The Neal Pollack Invasion,neutral
Underglam,Skerror,neutral
Haunted Ballroom,Skerror,neutral
Wetting the Witches,Skerror,neutral
Underworld Artax,Skerror,neutral
Portal Cling,Skerror,neutral
Skeleton Keys,Skerror,neutral
Reflective Glass,Skerror,neutral
Metallic Mistress,Skerror,neutral
Ruby Glass,Skerror,neutral
Luv My Clutches,Skerror,neutral
Clear Moment (Eyes Cast Down Mix),Northcape,reflective
Krakoa,Skerror,neutral
Steam Nettles,Skerror,neutral
Glamour Below,Skerror,neutral
Stattick,Skerror,neutral
31 (4 Jean Renouard),ZAILM Atoyanh,reflective
Stem Cells,Skerror,neutral
Hahabitatat,Skerror,neutral
Thorny Whip Trix,Skerror,neutral
The Tingler,Skerror,neutral
Ether Berries,Skerror,neutral
Sediment Strip,Skerror,neutral
Earthblood,Skerror,neutral
Mossland Pursuit,Skerror,neutral
Metered Cephis,Skerror,reflective
Viscuous Costly,Skerror,neutral
Hot Summer Day,Three Fantastic,reflective
Wickerbone Box,Skerror,neutral
Steam Shallows,Skerror,neutral
Haitian Mysteres,Skerror,neutral
Mechathereal,Skerror,neutral
Xevoltice,Skerror,neutral
My Neighbor Berkowitz,Skerror,neutral
disk69 headphones aqueous jewelery mix,bjork remix web,sadness
Amphibian (Requelle mix),"bjork, Atreyu Ende",sadness
Sucker Fish,Skerror,neutral
Fog Wire,Skerror,neutral
Eel Pleure,Skerror,neutral
Host Acquisition,Skerror,neutral
Bubble Cage,Skerror,neutral
Toil and Brew,Skerror,neutral
Alternate Energon,Skerror,neutral
Sweeval,Skerror,neutral
Riddd,Err,reflective
Strange Fruit,Skerror,neutral
Had Matter,Skerror,neutral
Cobbling Optics,Skerror,neutral
Aquarium Visitor,Skerror,neutral
Hostility Suite,"Big Satan (Berne, Ducret, Rainey)",reflective
Drone Parade,Skerror,neutral
Crincle Fish,Skerror,neutral
Liquifiler,Skerror,neutral
Kraken Skulls,Skerror,neutral
Conch Quest,Skerror,neutral
Brainin it Back,Skerror,reflective
Glow Worm Gardenfest,Skerror,neutral
Mercury's Blessings,Skerror,neutral
Dream Logic,Skerror,neutral
Sunday Morning,Andy Warhol,neutral
Grey Waters,Skerror,neutral
Ginsu,Skerror,neutral
Rain Cat,Skerror,neutral
Bugged Oout,Skerror,neutral
Plague of Mirrors,Skerror,neutral
Akuma,Skerror,neutral
Cephalopop,Skerror,neutral
Mossy Memento,Skerror,neutral
Urchulus Android,Skerror,neutral
Hoodwinking Reptiles,Skerror,neutral
Don't Cry Robot,Skerror,neutral
Shelterless Sky,Skerror,neutral
Fsad Sfunk,Skerror,neutral
Gun Blade,Skerror,neutral
