track,artist,track_clean,artist_clean,final_emotion
Phobos,Darcy James Argue's Secret Society,phobos,darcy james argues secret society,joy
The Quiet Desert,Earth Trybe,the quiet desert,earth trybe,reflective
Kvasar,Nordvargr,kvasar,nordvargr,joy
I'm Gone,Bill Laswell,im gone,bill laswell,joy
Samwise the Brave,Soundtrack,samwise the brave,soundtrack,joy
.0002,Gridlock,0002,gridlock,joy
Mystery Girl,Mickey & The Soul Generation,mystery girl,mickey the soul generation,joy
Beside You (LP Version),Van Morrison,beside you lp version,van morrison,excitement
Scythe (Studio Mix),Vincent,scythe studio mix,vincent,neutral
Materia Primoris: The X-Files Theme (Main Title)  (LP Version),Mark Snow,materia primoris the xfiles theme main title lp version,mark snow,neutral
Sorbetowy,Cosovel,sorbetowy,cosovel,reflective
Thanks for the drink,Mark Cochrane,thanks for the drink,mark cochrane,neutral
Parmi les automates,Nurykabe,parmi les automates,nurykabe,neutral
Creeps College,Woods Family Creeps,creeps college,woods family creeps,neutral
Starfield Part 1,Felixdroid,starfield part 1,felixdroid,neutral
Zeno,Darcy James Argue's Secret Society,zeno,darcy james argues secret society,joy
Chasing Skirt,Severed Heads,chasing skirt,severed heads,joy
Ain't the Same as Before,The Hasbeens,aint the same as before,the hasbeens,joy
Turiya,DJ Rum,turiya,dj rum,sadness
Menu,Pascal van Stekelenburg,menu,pascal van stekelenburg,reflective
Enter Spire,Jack Wall,enter spire,jack wall,joy
Irish Mass - 2 - Gloir (Gloria),Gilles Mathieu,irish mass 2 gloir gloria,gilles mathieu,excitement
Toward Amitaf,Richard Bone,toward amitaf,richard bone,reflective
Journeys on the Winds of Time I,Alan Lamb,journeys on the winds of time i,alan lamb,excitement
Night Shift,Switchblade Symphony,night shift,switchblade symphony,neutral
A Way To Focus The Mind,Pete Namlook & Geir Jenssen,a way to focus the mind,pete namlook geir jenssen,reflective
The Green Manalishi,Arthur Brown,the green manalishi,arthur brown,neutral
Doomsday Device,Return to Mono,doomsday device,return to mono,neutral
Pact,Art Zoyd,pact,art zoyd,neutral
Prison Level,Jack Wall,prison level,jack wall,joy
Cuovgi Liekkas (Radiant Warmth),Mari Boine,cuovgi liekkas radiant warmth,mari boine,joy
Slipstream,Ravelyn,slipstream,ravelyn,neutral
Land Of Dark Magick,Count Greglache,land of dark magick,count greglache,neutral
Starlight (Convextion remix),Model 500,starlight convextion remix,model 500,excitement
A Lullaby Remembered,Felixdroid,a lullaby remembered,felixdroid,joy
A Dialogue of Silk,Jami Sieber,a dialogue of silk,jami sieber,joy
07 ircam,B. Fleischmann,ircam,b fleischmann,joy
Uruz,Edea,uruz,edea,joy
Redeye,Darcy James Argue's Secret Society,redeye,darcy james argues secret society,neutral
Mystical Clearing,Erdenstern,mystical clearing,erdenstern,joy
Irish Mass - 6 - A Uain De (Agnus Dei),Gilles Mathieu,irish mass 6 a uain de agnus dei,gilles mathieu,excitement
Ickaban's Dream,Technical Itch,ickabans dream,technical itch,neutral
Daughters Of The Night,Technical Itch,daughters of the night,technical itch,neutral
Naturescent (Wood Paneling Mix),TRS-80,naturescent wood paneling mix,trs80,joy
Banany,Ленинград,banany,ленинград,joy
Gallery Theme,Tim Larkin,gallery theme,tim larkin,joy
Shivranjani Dhun,Hariprasad Chaurasia,shivranjani dhun,hariprasad chaurasia,reflective
Break The Silence,Rude 66,break the silence,rude 66,excitement
Energy,Tetrafusion,energy,tetrafusion,excitement
Sky Sailor (Float Away),"Daft Punk, TRS-80 & Ariel Pink",sky sailor float away,daft punk trs80 ariel pink,sadness
Pollen,Cyrus,pollen,cyrus,joy
NAKED HEART,茅原実里,naked heart,茅原実里,excitement
Cantaloupe Island,Pucho,cantaloupe island,pucho,joy
Club Dread feat Mikey Dread,Beat Pharmacy,club dread feat mikey dread,beat pharmacy,joy
Biftek De Licorn (feat. Eva Janina Haas),Straftanz,biftek de licorn feat eva janina haas,straftanz,excitement
Small Change  (LP Version),Tom Waits,small change lp version,tom waits,neutral
Lapsing,Visions,lapsing,visions,reflective
Unsolved,Alex Masi,unsolved,alex masi,joy
Sargasso,Felixdroid,sargasso,felixdroid,neutral
Starfield Part 2,Felixdroid,starfield part 2,felixdroid,neutral
Kinesthesia 7,Nheap,kinesthesia 7,nheap,joy
Every Reason Not To,Ane Trolle,every reason not to,ane trolle,reflective
Misty Mountain (Solar Lion Remix),Desert Dwellers,misty mountain solar lion remix,desert dwellers,joy
Mal habillée,Dawn Landes,mal habillée,dawn landes,joy
Nirvana Blues,Alan Broadbent,nirvana blues,alan broadbent,joy
City Breakers - buy at our website - www.upbustleandout.co.uk,"Up, Bustle and Out",city breakers buy at our website wwwupbustleandoutcouk,up bustle and out,joy
Symphony 5 : IX Moderato,Валентин Васильович Сильвестров,symphony 5 ix moderato,валентин васильович сильвестров,joy
God Hunters,"Russell Brower, Derek Duke, Glenn Stafford",god hunters,russell brower derek duke glenn stafford,neutral
"Madre, Protegenos",Ion,madre protegenos,ion,joy
Algae & Bottles,Ane Trolle,algae bottles,ane trolle,neutral
わたしはあなたと共に時は時間がありません,t e l e p a t h テレパシー能力者,わたしはあなたと共に時は時間がありません,t e l e p a t h テレパシー能力者,joy
Assault Squad,Two Lone Swordsmen,assault squad,two lone swordsmen,joy
"Night Flashes (10"" Mix)",TRS-80,night flashes 10 mix,trs80,neutral
Smoke raise to the skies,Jack or Jive,smoke raise to the skies,jack or jive,neutral
Marakesch - Meitz Remix,Peace Orchestra,marakesch meitz remix,peace orchestra,neutral
Opera (Beckettis Phantoms Only Mix),Cass & Slide,opera beckettis phantoms only mix,cass slide,joy
Of Ebon Wings,Ashtorath,of ebon wings,ashtorath,neutral
夜がくるたび,榊原ゆい,夜がくるたび,榊原ゆい,excitement
Love me,[unknown],love me,unknown,joy
The Eye of Eternity,"Russell Brower, Derek Duke, Glenn Stafford",the eye of eternity,russell brower derek duke glenn stafford,neutral
This is the Cult (Vertigo Mix),Vargotah,this is the cult vertigo mix,vargotah,neutral
Song of the Nile,Dead Can Dance,song of the nile,dead can dance,sadness
Pale Clouded White,Cocteau Twins,pale clouded white,cocteau twins,reflective
Mystical Experiences,The Infinity Project,mystical experiences,the infinity project,joy
Song For Ancestors,Juno Reactor,song for ancestors,juno reactor,reflective
Harmonia Mundi,Mike Oldfield,harmonia mundi,mike oldfield,reflective
Shenzhou,Biosphere,shenzhou,biosphere,reflective
"Echoes, Part I",Pink Floyd,echoes part i,pink floyd,joy
Ascent Through the Spheres,Morbid Angel,ascent through the spheres,morbid angel,joy
Tarana,Ustad Sultan Khan,tarana,ustad sultan khan,joy
Arcadia Magik,Prometheus,arcadia magik,prometheus,reflective
The Dawning,Hagalaz' Runedance,the dawning,hagalaz runedance,calm
Shut Your Eyes And You'll Find The Trees Turning Into Flames,Library Tapes,shut your eyes and youll find the trees turning into flames,library tapes,sadness
Orochimaru's Theme,増田俊郎,orochimarus theme,増田俊郎,excitement
Bouncin' Back,Mystikal,bouncin back,mystikal,excitement
Powoli,Jacaszek,powoli,jacaszek,sadness
Symphony No. 3: II. Lento e Largo - Tranquillissimo,Henryk Górecki,symphony no 3 ii lento e largo tranquillissimo,henryk górecki,neutral
Invention,Shulman,invention,shulman,reflective
Taqsim,Stellamara,taqsim,stellamara,reflective
Lady in the Radiator,Zola Jesus,lady in the radiator,zola jesus,excitement
Urban Clearway,Saint Etienne,urban clearway,saint etienne,excitement
Nilleshna,Lisa Gerrard,nilleshna,lisa gerrard,sadness
Nea 3,Solar Fields,nea 3,solar fields,joy
Alethia,Jonny Greenwood,alethia,jonny greenwood,excitement
Erase,Asura,erase,asura,excitement
Deep East,Etnica,deep east,etnica,reflective
Der Yek Gooshe,Laleh,der yek gooshe,laleh,calm
Charming The Serpent,Govinda,charming the serpent,govinda,calm
Unbecome,Vas,unbecome,vas,reflective
Moonlight Dance,Sally Shapiro,moonlight dance,sally shapiro,joy
Cathar,Arcana,cathar,arcana,reflective
Invocatio II,Irfan,invocatio ii,irfan,neutral
Affenstunde,Popol Vuh,affenstunde,popol vuh,joy
Sanvean: I Am Your Shadow,Lisa Gerrard,sanvean i am your shadow,lisa gerrard,sadness
Sanvean: I Am Your Shadow,Lisa Gerrard,sanvean i am your shadow,lisa gerrard,reflective
On (µ-ziq mix),Aphex Twin,on µziq mix,aphex twin,reflective
Violina: The Last Embrace,Lisa Gerrard,violina the last embrace,lisa gerrard,sadness
Forgo,Love Spirals Downwards,forgo,love spirals downwards,sadness
Come and Play,Digitonal,come and play,digitonal,excitement
Ghasi Ram Blues,Kaya Project,ghasi ram blues,kaya project,reflective
Rajna,Rajna,rajna,rajna,sadness
Tauchfahrt,Feindflug,tauchfahrt,feindflug,reflective
When the effect came,Chi-A.D.,when the effect came,chiad,joy
Sunshrine,James Blackshaw,sunshrine,james blackshaw,excitement
Star of the winds,Irfan,star of the winds,irfan,sadness
Lady Di,Brett Juilly,lady di,brett juilly,excitement
Crossing Those Hills,植松伸夫,crossing those hills,植松伸夫,joy
A Forest (the Cure),Marc Collin,a forest the cure,marc collin,excitement
Wound,Arcana,wound,arcana,sadness
Conspiracies,Subheim,conspiracies,subheim,excitement
Light Shining Darkly,Coil,light shining darkly,coil,sadness
Brother Hunter,Djivan Gasparyan,brother hunter,djivan gasparyan,sadness
The First Revelation,Eat Static,the first revelation,eat static,neutral
Ensa (hidden),Maps and Diagrams,ensa hidden,maps and diagrams,reflective
Oh wie nah ist der Weg hinab,Popol Vuh,oh wie nah ist der weg hinab,popol vuh,excitement
Keep Cool Babylon,Ras Michael & The Sons Of Negus,keep cool babylon,ras michael the sons of negus,joy
Ruby For The Sun,Max Corbacho,ruby for the sun,max corbacho,reflective
DC Lounge Theme,Vienna DC,dc lounge theme,vienna dc,excitement
Baraka,Stellamara,baraka,stellamara,reflective
Не жалей,t.A.T.u.,не жалей,tatu,sadness
Gesso's Guitar Song,Mystic Rhythms Band,gessos guitar song,mystic rhythms band,joy
Mystic River,Essence,mystic river,essence,reflective
Holy Mount Zion,Wayne Jarrett,holy mount zion,wayne jarrett,joy
Innerworld,Mystical Sun,innerworld,mystical sun,reflective
Tell Me About The Forest (you,Dead Can Dance,tell me about the forest you,dead can dance,reflective
Chaconne In G Major,Moondog,chaconne in g major,moondog,excitement
Strumica,Stellamara,strumica,stellamara,reflective
サヤエンドウ,News,サヤエンドウ,news,excitement
Fire Drums,Mercan Dede,fire drums,mercan dede,excitement
Breathe feat Fontella Bass,The Cinematic Orchestra,breathe feat fontella bass,the cinematic orchestra,excitement
Nano Anu,Geomatic,nano anu,geomatic,excitement
Halls,Matt Uelmen,halls,matt uelmen,neutral
Epoch,This Morn' Omina,epoch,this morn omina,sadness
A Hajnal Köszöntése,The Moon and the Nightspirit,a hajnal köszöntése,the moon and the nightspirit,reflective
The Temple of Five,Bear McCreary,the temple of five,bear mccreary,joy
Dark Technology Ghost,Geomatic,dark technology ghost,geomatic,reflective
India Sleeping,Mars,india sleeping,mars,excitement
Care Free,Jon Schmidt,care free,jon schmidt,neutral
Hit From the Morning Sun,MONGREL,hit from the morning sun,mongrel,excitement
Alternate Universe,Geomatic,alternate universe,geomatic,excitement
El Monte,Delia Gonzalez & Gavin Russom,el monte,delia gonzalez gavin russom,excitement
Diamond City,Psychic Ills,diamond city,psychic ills,excitement
Little Boy,Christophe Goze,little boy,christophe goze,joy
Dreaming Of You,2002,dreaming of you,,joy
Nevertized,I Awake,nevertized,i awake,excitement
Unfaithful Children,Al Campbell,unfaithful children,al campbell,excitement
A-Ronne,Luciano Berio,aronne,luciano berio,excitement
Der grosse Krieger,Popol Vuh,der grosse krieger,popol vuh,excitement
K'ayab,Tzolk'in,kayab,tzolkin,excitement
Suave,35007,suave,,excitement
New World In My View,King Britt & Sister Gertrude Morgan,new world in my view,king britt sister gertrude morgan,reflective
Shiva Invocation,Shantala,shiva invocation,shantala,sadness
Is God Here,Dario Marianelli,is god here,dario marianelli,excitement
Ocala,Wayne Gratz,ocala,wayne gratz,reflective
Jah jah forgive them,Leroy Smart,jah jah forgive them,leroy smart,joy
Nothing Without You,Nusrat Fateh Ali Khan,nothing without you,nusrat fateh ali khan,excitement
Wikki Wikki Plate,Aphrodite,wikki wikki plate,aphrodite,excitement
Multiverse,Entheogenic,multiverse,entheogenic,reflective
Feeling Very Weird,The Infinity Project,feeling very weird,the infinity project,sadness
Dream House 1973,La Monte Young,dream house 1973,la monte young,excitement
"the tortoise, his dreams and journeys",La Monte Young,the tortoise his dreams and journeys,la monte young,excitement
Magic and Ecstasy,Snakefinger,magic and ecstasy,snakefinger,excitement
Tanabata Moon,2002,tanabata moon,,joy
Longing,Ry Cooder & V.M. Bhatt,longing,ry cooder vm bhatt,reflective
"Three Views of a Japanese Garden, part 2 (live)",Rudy Adrian,three views of a japanese garden part 2 live,rudy adrian,calm
Curst Battle,Mark Morgan,curst battle,mark morgan,excitement
Orphans Of Doom - The Awakening,Basil Poledouris,orphans of doom the awakening,basil poledouris,joy
Ravel's Maze,Mark Morgan,ravels maze,mark morgan,excitement
I Know You Now,Tu Fawning,i know you now,tu fawning,excitement
The Ancient Sounds,Pharoah Sanders,the ancient sounds,pharoah sanders,joy
Morte Theme,Mark Morgan,morte theme,mark morgan,excitement
Heavens Earth (Matt Darey Remix) feat Kristy Thirsk,Delerium,heavens earth matt darey remix feat kristy thirsk,delerium,reflective
Reprazent - Heroes,Roni Size,reprazent heroes,roni size,reflective
Belorbai,Rajna,belorbai,rajna,sadness
Sacred Site (In Ruins),Michael Gettel,sacred site in ruins,michael gettel,neutral
Smoldering Corpse Bar,Mark Morgan,smoldering corpse bar,mark morgan,joy
Nomad Song,Stephan Micus,nomad song,stephan micus,calm
Book of Ecstacy,Robert Rich,book of ecstacy,robert rich,reflective
Modron Cube Battle,Mark Morgan,modron cube battle,mark morgan,excitement
Leaving the Hub,Deepspace,leaving the hub,deepspace,calm
Gone for Good,Reefer Decree,gone for good,reefer decree,joy
Serpent's Tooth,Geomatic,serpents tooth,geomatic,joy
Moonlight Boy,Jim Chappell,moonlight boy,jim chappell,joy
Baby Sitar,Portishead,baby sitar,portishead,excitement
Civic Festhall,Mark Morgan,civic festhall,mark morgan,excitement
leaving behind our memories,Evan Bartholomew,leaving behind our memories,evan bartholomew,joy
dreamenddischarger,zts,dreamenddischarger,zts,neutral
Damaged Datastream,Tineidae,damaged datastream,tineidae,excitement
Mysterious Union,Androcell,mysterious union,androcell,excitement
Dead Beat,Dada Dumdums,dead beat,dada dumdums,reflective
Caoineadh Cú Chulainn (Lament),Bill Whelan,caoineadh cú chulainn lament,bill whelan,reflective
Desert Nomad,Androcell,desert nomad,androcell,reflective
Лой быканах,Аквариум,лой быканах,аквариум,neutral
Luc Ferrari - Music Promena,Luc Ferrari,luc ferrari music promena,luc ferrari,excitement
GOLA,ルルティア,gola,ルルティア,sadness
New Reno,Mark Morgan,new reno,mark morgan,excitement
Call to the Priestess,Nhanda Devi,call to the priestess,nhanda devi,reflective
You Can See Forever,Desert Dwellers,you can see forever,desert dwellers,neutral
hourglass land (2007),Dada Dumdums,hourglass land 2007,dada dumdums,reflective
Ellora,Vas,ellora,vas,excitement
Over The Rainbow/What A Wonderful World,"Isreal ""IZ"" Kamakawiwo'ole",over the rainbowwhat a wonderful world,isreal iz kamakawiwoole,joy
Варвары - Рати Севера,ЛихоЛесье,варвары рати севера,лихолесье,excitement
We Turned Our Backs,Dario Marianelli,we turned our backs,dario marianelli,calm
Turkish Sword Swallower,Muslimgauze,turkish sword swallower,muslimgauze,excitement
Восхождение черной луны,Оргия Праведников,восхождение черной луны,оргия праведников,excitement
Roya,Vas,roya,vas,excitement
"Ой Ти, Петре, Петре",Żywiołak,ой ти петре петре,żywiołak,excitement
METHOD_METAFALICA/.,志方あきこ,method_metafalica,志方あきこ,reflective
Brimstone and Fire,Wayne Jarrett,brimstone and fire,wayne jarrett,joy
Down on Earth,ManMadeMan,down on earth,manmademan,neutral
Spout Of Light,Alexander Tucker,spout of light,alexander tucker,joy
Stormlight,David Arkenstone,stormlight,david arkenstone,joy
Hidrelaz - Dream of Perhan,Mercan Dede,hidrelaz dream of perhan,mercan dede,reflective
Them Top Ranking,Rod Taylor,them top ranking,rod taylor,excitement
Snow White Feathered Man,Samara Lubelski,snow white feathered man,samara lubelski,excitement
Myrrh (Loop),Cerberus Shoal,myrrh loop,cerberus shoal,excitement
O Holy Night,David Darling,o holy night,david darling,joy
Schwarz ～そして少女は森の中～,霜月はるか†Revo,schwarz そして少女は森の中,霜月はるかrevo,sadness
New Move,Psycraft,new move,psycraft,neutral
Mystic Seacliffs,Bill Whelan,mystic seacliffs,bill whelan,joy
Šaman,Wohnout,šaman,wohnout,joy
ハレルヤ,ルルティア,ハレルヤ,ルルティア,neutral
Frater Ave Atque Vale,Faith and the Muse,frater ave atque vale,faith and the muse,excitement
Jade Gates (Beauty Knows No Pain Mix),Celtic Cross,jade gates beauty knows no pain mix,celtic cross,reflective
Faraway Places,Yurdal Tokcan,faraway places,yurdal tokcan,calm
Honey In The Rock,Entrance,honey in the rock,entrance,joy
Neighbors,The Long Division,neighbors,the long division,excitement
Indian trance,Hilight Tribe,indian trance,hilight tribe,excitement
Etz'nab,Tzolk'in,etznab,tzolkin,reflective
Sny Hmar,Viter,sny hmar,viter,excitement
Creation of Tefnet,Ra,creation of tefnet,ra,excitement
lotus,睡蓮,lotus,睡蓮,reflective
Days Of Anger,The Speed Freak,days of anger,the speed freak,reflective
調和～風来の調べ～,志方あきこ,調和風来の調べ,志方あきこ,reflective
Stutter (Remix),Joe,stutter remix,joe,excitement
Space Park,The Long Division,space park,the long division,excitement
Inside In,Lowlife,inside in,lowlife,sadness
Heaven And Hell Part II,Vangelis,heaven and hell part ii,vangelis,neutral
玲々テノヒラ,ルルティア,玲々テノヒラ,ルルティア,excitement
Ferahfeza,Whirling Dervishes,ferahfeza,whirling dervishes,excitement
I - I Am - Dreams,Diamanda Galás,i i am dreams,diamanda galás,excitement
Glittering Cities,Susan Raven,glittering cities,susan raven,excitement
Spiritus Arma,Abnocto,spiritus arma,abnocto,joy
Indian Moon,Guitar Chill Out,indian moon,guitar chill out,excitement
EXEC_SUSPEND/.,みとせのりこ,exec_suspend,みとせのりこ,excitement
EXEC_LINCA/.,霜月はるか,exec_linca,霜月はるか,reflective
Drop the Baggage,Miten,drop the baggage,miten,neutral
EXEC_METAFALICA/.,霜月はるか,exec_metafalica,霜月はるか,reflective
FileName1%,Tolga Fidan,filename1,tolga fidan,reflective
Ach Golgotha,Current 93,ach golgotha,current 93,excitement
Transcendence,Voice of Eye,transcendence,voice of eye,excitement
"""And From This Chasm, With Ceaseless Turmoil Seething""",Our Last Hope Lost Hope,and from this chasm with ceaseless turmoil seething,our last hope lost hope,excitement
Let Jah Jah Love Abide,Natural Black,let jah jah love abide,natural black,excitement
The main theme variations,Marat Settarov,the main theme variations,marat settarov,calm
EXEC_VIENA/.,霜月はるか,exec_viena,霜月はるか,sadness
Mirage,Ahura,mirage,ahura,reflective
Deeper Reasons,Liz Story,deeper reasons,liz story,excitement
Kawa's Song,Jay Atwood,kawas song,jay atwood,reflective
Angels (Remix),Lupe Fiasco,angels remix,lupe fiasco,neutral
to a child dancing in the wind,Martyn Bates & Troum,to a child dancing in the wind,martyn bates troum,sadness
The Waterdragon,Jack Wall,the waterdragon,jack wall,reflective
The Resonant Memory of Earth,Max Corbacho,the resonant memory of earth,max corbacho,reflective
Leaves on Water,Bleeding Nature,leaves on water,bleeding nature,excitement
U:mu:m'nu:,35007,umumnu,,excitement
Underwater Castle,Mike Oldfield,underwater castle,mike oldfield,reflective
Of Broken Lines,These Trails,of broken lines,these trails,sadness
Long Way,Triangle Sun,long way,triangle sun,excitement
春へ,妖精帝國,春へ,妖精帝國,excitement
Blanc,Djemdi,blanc,djemdi,sadness
tanyet,Al Gromer Khan,tanyet,al gromer khan,excitement
For Today,Butterfly Messiah,for today,butterfly messiah,excitement
Taming Mistery,Void's Anatomy,taming mistery,voids anatomy,neutral
Derballah (To Adonis),Dhafer Youssef,derballah to adonis,dhafer youssef,joy
Tower,Noe Venable,tower,noe venable,excitement
Kuh,Replikas,kuh,replikas,excitement
Vespertilia,Ataraxia,vespertilia,ataraxia,joy
Sweet Return,Shoshannah,sweet return,shoshannah,reflective
place in time,Amanda Abizaid,place in time,amanda abizaid,excitement
Strofa 4,Popol Vuh,strofa 4,popol vuh,joy
Mechanical Songs,The Smiles and Frowns,mechanical songs,the smiles and frowns,joy
Naturmnftikk,Ulver,naturmnftikk,ulver,neutral
Gopinath,Vaiyasaki Das,gopinath,vaiyasaki das,excitement
Endless Life,Hekate,endless life,hekate,neutral
Suite Patagonia,Bruno Sanfilippo,suite patagonia,bruno sanfilippo,sadness
Odin's Kraft,Etnoscope,odins kraft,etnoscope,sadness
Hymn to the Sun,Shiva Shidapu,hymn to the sun,shiva shidapu,sadness
D'Marot Malach,Angel Tears,dmarot malach,angel tears,excitement
Strofa 5,Popol Vuh,strofa 5,popol vuh,neutral
Floating Through the Gates of Time,Oöphoi,floating through the gates of time,oöphoi,neutral
The Silence,Argaman,the silence,argaman,reflective
Badful Badful (The Stolen Child),Lacy James,badful badful the stolen child,lacy james,reflective
The Noid,Kurbeats,the noid,kurbeats,excitement
Akasha - The Pleasure Of Being One With The Supreme Soul,Danny Becher,akasha the pleasure of being one with the supreme soul,danny becher,sadness
Three Variations On The Canon In D Major  (I) Fullness Of The Wind,Brian Eno,three variations on the canon in d major i fullness of the wind,brian eno,reflective
Горе,Инна Желанная,горе,инна желанная,excitement
"Another Time, Another Place",Pineal,another time another place,pineal,reflective
Up To Getzach,Therion,up to getzach,therion,joy
"Khrimian Hairig, Op. 49",Alan Hovhaness,khrimian hairig op 49,alan hovhaness,sadness
Gryf,Tabula Rasa,gryf,tabula rasa,excitement
In White Hypnotic,Ras Algethi,in white hypnotic,ras algethi,reflective
Flying Carpet,Pineal,flying carpet,pineal,neutral
Windowsill,New Found Land,windowsill,new found land,excitement
Title Theme,TRS-80,title theme,trs80,excitement
Sweet Dark Indian Night,Astropilot,sweet dark indian night,astropilot,excitement
Faerie Queen,Benjamin Robinson,faerie queen,benjamin robinson,reflective
Cang Ding,ENIGMA & D-Emotion Project,cang ding,enigma demotion project,excitement
Humbug,Aaron Marshall,humbug,aaron marshall,excitement
Micro Chip,Prezident Brown,micro chip,prezident brown,joy
The Tamburas Of Pandit Pran Nath (69.56mins continuous drone),La Monte Young,the tamburas of pandit pran nath 6956mins continuous drone,la monte young,neutral
Innocence,Kim Kuzma,innocence,kim kuzma,neutral
OBE#3,SaReGaMa,obe3,saregama,sadness
Ammonites and Shells Live,Benjamin Robinson,ammonites and shells live,benjamin robinson,reflective
Fucked up Donald,D.O.A.,fucked up donald,doa,neutral
Lake Of Dreams,David Arkenstone,lake of dreams,david arkenstone,joy
Undara's Lava Tube,David Hudson,undaras lava tube,david hudson,excitement
Under My Feet Prophetic,Shekinah Glory Ministry,under my feet prophetic,shekinah glory ministry,joy
Honolulu Baby,Anton LaVey,honolulu baby,anton lavey,excitement
Truman's Mother,Rachel Portman,trumans mother,rachel portman,calm
Fanayam Man II,Shahram Nazeri & Hafez Nazeri,fanayam man ii,shahram nazeri hafez nazeri,excitement
Sartoscht (Zarathustra),Ahura,sartoscht zarathustra,ahura,reflective
Gunsmoke - Original Mix,Bjorn Akesson,gunsmoke original mix,bjorn akesson,neutral
Lähtö,Tabula Rasa,lähtö,tabula rasa,excitement
White Lion,Lacy James,white lion,lacy james,reflective
Signals (Intro),Orthonorma,signals intro,orthonorma,joy
Chante La Nature,Patroux,chante la nature,patroux,joy
Honey Pot,The Long Division,honey pot,the long division,excitement
Raga Kirvani,Shivkumar Sharma,raga kirvani,shivkumar sharma,excitement
Blossoms From India,Ginko Garden,blossoms from india,ginko garden,joy
Mystical Sea,The Wimshurst's Machine,mystical sea,the wimshursts machine,neutral
Song of Songs,Lacy James,song of songs,lacy james,reflective
Aaj Rang Hai,Abida Parveen,aaj rang hai,abida parveen,excitement
Sheitan,Le Bask,sheitan,le bask,sadness
Lament Of McCimmon/Song Of The Banshee,Sheila Chandra,lament of mccimmonsong of the banshee,sheila chandra,neutral
Dancing With The Mystery,Iacchus,dancing with the mystery,iacchus,excitement
Mourning Talk,Salvinorin,mourning talk,salvinorin,excitement
Never Be the Same,Swain & Collingwood,never be the same,swain collingwood,joy
Gathering Sparks,Shoshannah,gathering sparks,shoshannah,reflective
Holy,Wukimon,holy,wukimon,calm
Island Preview,The Phantom Band,island preview,the phantom band,excitement
Sector X - Atlantis ~ A Sector Underwater,Mazedude,sector x atlantis a sector underwater,mazedude,joy
prince roman,Волга,prince roman,волга,excitement
Aegishjalmur,Betray-Ed,aegishjalmur,betrayed,reflective
18 Hands of Cundi,Worms of the Earth,hands of cundi,worms of the earth,excitement
Salome with the Head of John the Baptist,Omar Faruk Tekbilek,salome with the head of john the baptist,omar faruk tekbilek,excitement
Matrimandir,Suduaya,matrimandir,suduaya,excitement
Carnival of the Animals: VII. Aquarium,Philharmonia Orchestra,carnival of the animals vii aquarium,philharmonia orchestra,joy
Through The Pale Door (Album Version),Faith and the Muse,through the pale door album version,faith and the muse,excitement
edge of red,Molotov Elysian,edge of red,molotov elysian,sadness
Intersection 2060,Phobosphere,intersection 2060,phobosphere,reflective
Fragments of Twilight,Aaron Marshall,fragments of twilight,aaron marshall,neutral
Dunes,Iskelu,dunes,iskelu,excitement
A Woman's Gift / Aishet Chayel,Shoshannah,a womans gift aishet chayel,shoshannah,reflective
Sade Verhe Aaya Kar Kaafi - Bulleh Shah,Abida Parveen,sade verhe aaya kar kaafi bulleh shah,abida parveen,excitement
金環食,志方あきこ,金環食,志方あきこ,reflective
Tribut,Erik Levander,tribut,erik levander,excitement
I Think Of You,Susan Raven,i think of you,susan raven,excitement
The Dream,Sergio Walgood,the dream,sergio walgood,excitement
Elysian Dreams,Mantraman,elysian dreams,mantraman,joy
Maui's Sunset,The Dead Rocks,mauis sunset,the dead rocks,joy
born again,California Sunshine,born again,california sunshine,excitement
Oh Marion,The Long Division,oh marion,the long division,excitement
as you laugh I envy you,Sun of Nothing,as you laugh i envy you,sun of nothing,excitement
Rumeli Karsilamasi,Djinn,rumeli karsilamasi,djinn,neutral
Waltz from Heaven / Adon Olam,Shoshannah,waltz from heaven adon olam,shoshannah,reflective
Riddles,Dark Patrick,riddles,dark patrick,joy
"Twelve Moons (Part one: Winter-Summer, Part two: Summer-Winter)",Jan Garbarek Group,twelve moons part one wintersummer part two summerwinter,jan garbarek group,excitement
There Is a Dream,Mystical Sound,there is a dream,mystical sound,joy
Pictures at an exhibition (Gnomus) (+ quote),Modest Moussorgsky,pictures at an exhibition gnomus quote,modest moussorgsky,neutral
Islamic Trance,Muhmood,islamic trance,muhmood,reflective
Someday (First State Remix),Jason Van Wyk & Audien,someday first state remix,jason van wyk audien,joy
Nottanum Town,Oberon,nottanum town,oberon,excitement
The Ultimate Experience,DJ Satori the Nucleator,the ultimate experience,dj satori the nucleator,neutral
Vos Es Verum,eskimeaux,vos es verum,eskimeaux,sadness
Shimmering Arctic Twilight,Aaron Marshall,shimmering arctic twilight,aaron marshall,excitement
Arabian Thoughts,Simbad,arabian thoughts,simbad,excitement
Kristall,Träne,kristall,träne,excitement
the golden age,Phragments,the golden age,phragments,excitement
The Fortune Teller,Aaron Marshall,the fortune teller,aaron marshall,excitement
"Jap Man Satnaam, Sedha Satnaam",Dya Singh,jap man satnaam sedha satnaam,dya singh,reflective
Africa (Extended Mix),Dennis Brown,africa extended mix,dennis brown,excitement
yamato choshi,Tilopa,yamato choshi,tilopa,excitement
Partners in Creation / Hinay Matov,Shoshannah,partners in creation hinay matov,shoshannah,reflective
La Fin Du Rêve,Bruno Coulais,la fin du rêve,bruno coulais,excitement
